,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801010,农林牧渔,2020-12-31,3873.85,3916.36,3865.96,3913.10,19.47,279.40,0.88
1,801010,农林牧渔,2020-12-30,3858.57,3893.45,3854.06,3879.06,20.17,291.61,0.59
2,801010,农林牧渔,2020-12-29,3915.94,3929.04,3852.76,3856.43,25.85,354.37,-1.28
3,801010,农林牧渔,2020-12-28,3811.01,3907.38,3811.01,3906.55,23.86,337.09,2.64
4,801010,农林牧渔,2020-12-25,3802.00,3824.78,3764.63,3806.01,20.70,269.69,-0.66
5,801010,农林牧渔,2020-12-24,3819.52,3892.03,3808.46,3831.18,27.41,362.22,-0.19
6,801010,农林牧渔,2020-12-23,3790.47,3841.60,3762.69,3838.63,28.75,358.39,1.00
7,801010,农林牧渔,2020-12-22,3870.62,3899.17,3800.06,3800.54,29.63,389.64,-2.22
8,801010,农林牧渔,2020-12-21,3817.48,3886.66,3784.56,3886.66,26.27,337.82,2.19
9,801010,农林牧渔,2020-12-18,3837.71,3840.18,3797.81,3803.45,19.38,249.10,-1.02
10,801010,农林牧渔,2020-12-17,3829.25,3851.53,3809.69,3842.67,20.48,264.24,0.20
11,801010,农林牧渔,2020-12-16,3832.07,3853.13,3810.01,3835.03,19.12,255.52,-0.04
12,801010,农林牧渔,2020-12-15,3868.27,3878.89,3829.59,3836.49,17.65,225.25,-1.01
13,801010,农林牧渔,2020-12-14,3789.64,3877.85,3782.68,3875.71,23.90,308.83,2.46
14,801010,农林牧渔,2020-12-11,3822.33,3822.36,3747.13,3782.71,23.74,281.41,-1.27
15,801010,农林牧渔,2020-12-10,3859.47,3883.16,3828.74,3831.50,20.01,228.84,-1.15
16,801010,农林牧渔,2020-12-09,3960.94,3968.94,3872.63,3876.20,20.18,247.50,-2.31
17,801010,农林牧渔,2020-12-08,4009.82,4009.82,3965.34,3968.01,20.76,238.49,-0.97
18,801010,农林牧渔,2020-12-07,3945.02,4019.60,3936.71,4006.77,24.55,295.66,1.47
19,801010,农林牧渔,2020-12-04,3951.81,3961.25,3926.04,3948.86,20.21,255.47,-0.17
20,801010,农林牧渔,2020-12-03,3911.21,3965.84,3879.09,3955.67,23.79,281.73,1.23
21,801010,农林牧渔,2020-12-02,3893.93,3918.87,3879.53,3907.58,15.87,217.41,0.52
22,801010,农林牧渔,2020-12-01,3828.94,3891.68,3822.18,3887.31,14.12,195.35,1.19
23,801010,农林牧渔,2020-11-30,3887.85,3910.23,3841.56,3841.56,16.67,226.49,-0.27
24,801010,农林牧渔,2020-11-27,3796.52,3865.08,3796.51,3852.10,14.11,204.02,1.87
25,801010,农林牧渔,2020-11-26,3755.48,3789.32,3744.92,3781.53,8.44,142.89,0.86
26,801010,农林牧渔,2020-11-25,3825.85,3826.79,3749.35,3749.35,10.34,160.12,-1.85
27,801010,农林牧渔,2020-11-24,3811.27,3860.79,3801.34,3820.03,11.76,186.85,-0.05
28,801010,农林牧渔,2020-11-23,3826.53,3832.85,3786.73,3822.13,13.54,199.74,-0.30
29,801010,农林牧渔,2020-11-20,3838.49,3840.89,3804.23,3833.81,11.40,196.66,-0.42
30,801010,农林牧渔,2020-11-19,3787.87,3862.02,3772.92,3850.12,13.00,231.49,1.66
31,801010,农林牧渔,2020-11-18,3792.95,3800.88,3768.33,3787.22,10.91,162.28,-0.04
32,801010,农林牧渔,2020-11-17,3798.45,3807.99,3766.19,3788.77,13.27,217.63,-0.45
33,801010,农林牧渔,2020-11-16,3715.67,3806.00,3696.98,3806.00,13.94,230.56,3.01
34,801010,农林牧渔,2020-11-13,3682.70,3695.88,3650.03,3694.86,10.36,174.82,0.05
35,801010,农林牧渔,2020-11-12,3730.44,3730.44,3671.69,3693.03,13.42,218.61,-1.10
36,801010,农林牧渔,2020-11-11,3765.71,3804.82,3729.01,3734.09,14.07,232.31,-1.06
37,801010,农林牧渔,2020-11-10,3794.02,3800.95,3756.85,3773.97,13.31,215.17,-0.42
38,801010,农林牧渔,2020-11-09,3740.41,3806.11,3737.22,3789.90,13.69,228.01,1.32
39,801010,农林牧渔,2020-11-06,3794.07,3794.07,3706.11,3740.61,10.12,188.70,-1.28
40,801010,农林牧渔,2020-11-05,3777.26,3798.16,3755.04,3789.30,10.12,169.86,0.74
41,801010,农林牧渔,2020-11-04,3774.95,3797.51,3745.78,3761.48,9.31,154.63,-0.40
42,801010,农林牧渔,2020-11-03,3744.58,3781.88,3721.34,3776.69,11.00,178.62,1.17
43,801010,农林牧渔,2020-11-02,3742.17,3759.19,3709.72,3733.01,11.42,190.82,0.16
44,801010,农林牧渔,2020-10-30,3831.70,3833.07,3723.49,3727.04,12.98,181.46,-2.66
45,801010,农林牧渔,2020-10-29,3735.82,3844.03,3730.32,3828.73,11.15,164.47,1.09
46,801010,农林牧渔,2020-10-28,3822.06,3822.06,3776.93,3787.33,10.59,157.24,-0.80
47,801010,农林牧渔,2020-10-27,3771.58,3822.98,3771.57,3817.78,10.08,164.26,1.05
48,801010,农林牧渔,2020-10-26,3772.53,3803.35,3713.15,3778.24,9.47,138.41,-0.12
49,801010,农林牧渔,2020-10-23,3878.93,3893.78,3781.83,3782.72,10.30,175.95,-2.51
50,801010,农林牧渔,2020-10-22,3948.66,3948.67,3873.02,3880.12,10.53,180.26,-2.05
51,801010,农林牧渔,2020-10-21,4022.37,4022.45,3954.84,3961.24,9.26,128.08,-1.43
52,801010,农林牧渔,2020-10-20,4001.64,4018.88,3960.73,4018.88,10.43,141.43,0.46
53,801010,农林牧渔,2020-10-19,4037.63,4074.85,3991.88,4000.61,13.33,177.10,-0.42
54,801010,农林牧渔,2020-10-16,4026.63,4038.22,3978.96,4017.33,10.11,132.92,-0.28
55,801010,农林牧渔,2020-10-15,4073.06,4073.06,4016.06,4028.44,12.28,170.20,-1.49
56,801010,农林牧渔,2020-10-14,4164.44,4164.44,4075.75,4089.28,14.23,220.55,-2.15
57,801010,农林牧渔,2020-10-13,4071.78,4190.55,4053.41,4178.95,15.01,238.92,2.60
58,801010,农林牧渔,2020-10-12,3957.56,4073.24,3942.85,4073.05,15.50,229.88,3.17
59,801010,农林牧渔,2020-10-09,3964.23,3964.23,3916.18,3947.80,12.24,175.40,1.05
60,801010,农林牧渔,2020-09-30,3942.12,3954.11,3886.69,3906.89,9.68,134.84,-0.64
61,801010,农林牧渔,2020-09-29,3886.58,3949.49,3864.51,3931.94,10.98,152.57,2.20
62,801010,农林牧渔,2020-09-28,3960.87,3961.20,3844.15,3847.46,11.39,162.35,-2.65
63,801010,农林牧渔,2020-09-25,3982.19,3986.18,3939.72,3952.38,13.46,182.16,-0.40
64,801010,农林牧渔,2020-09-24,4002.29,4039.11,3966.75,3968.09,14.98,203.68,-1.41
65,801010,农林牧渔,2020-09-23,4001.26,4026.56,3994.13,4024.83,10.67,154.21,0.79
66,801010,农林牧渔,2020-09-22,4031.85,4053.94,3984.96,3993.15,11.71,167.18,-1.68
67,801010,农林牧渔,2020-09-21,4079.95,4082.29,4030.16,4061.50,13.83,181.29,-0.46
68,801010,农林牧渔,2020-09-18,4023.65,4083.49,4023.65,4080.17,14.20,198.27,1.61
69,801010,农林牧渔,2020-09-17,4071.84,4071.86,3966.66,4015.47,14.10,194.98,-1.83
70,801010,农林牧渔,2020-09-16,4141.97,4163.95,4051.36,4090.17,13.42,193.41,-1.46
71,801010,农林牧渔,2020-09-15,4135.99,4151.39,4088.76,4150.76,13.14,175.41,0.32
72,801010,农林牧渔,2020-09-14,4172.25,4189.96,4105.26,4137.47,14.76,205.69,-0.27
73,801010,农林牧渔,2020-09-11,4130.63,4152.14,4089.39,4148.51,13.30,180.49,0.08
74,801010,农林牧渔,2020-09-10,4212.91,4222.10,4116.50,4145.26,19.14,235.47,-0.50
75,801010,农林牧渔,2020-09-09,4290.26,4308.40,4163.51,4166.07,20.14,264.58,-4.10
76,801010,农林牧渔,2020-09-08,4388.03,4388.03,4293.47,4344.09,19.34,289.90,-1.07
77,801010,农林牧渔,2020-09-07,4592.64,4592.88,4368.21,4391.13,21.58,339.65,-4.83
78,801010,农林牧渔,2020-09-04,4568.99,4616.78,4539.35,4613.76,16.51,240.81,-1.03
79,801010,农林牧渔,2020-09-03,4741.06,4741.08,4643.72,4661.96,21.56,312.06,-2.22
80,801010,农林牧渔,2020-09-02,4768.63,4862.15,4742.03,4767.84,23.49,354.38,0.34
81,801010,农林牧渔,2020-09-01,4722.16,4751.76,4676.77,4751.76,20.05,280.10,0.60
82,801010,农林牧渔,2020-08-31,4752.10,4777.34,4710.51,4723.52,21.90,333.55,-0.61
83,801010,农林牧渔,2020-08-28,4621.83,4757.30,4611.67,4752.68,22.70,322.69,2.49
84,801010,农林牧渔,2020-08-27,4599.90,4637.04,4565.06,4637.04,18.50,245.03,0.66
85,801010,农林牧渔,2020-08-26,4707.29,4738.46,4583.49,4606.53,25.78,334.84,-2.25
86,801010,农林牧渔,2020-08-25,4787.42,4787.58,4697.04,4712.50,30.42,379.09,-1.60
87,801010,农林牧渔,2020-08-24,4696.85,4809.99,4681.82,4789.36,28.01,394.98,2.47
88,801010,农林牧渔,2020-08-21,4649.63,4705.27,4638.09,4673.89,26.08,342.83,0.50
89,801010,农林牧渔,2020-08-20,4710.51,4728.50,4624.00,4650.50,35.28,446.90,-1.88
90,801010,农林牧渔,2020-08-19,4755.79,4803.84,4722.22,4739.84,39.98,524.55,-0.49
91,801010,农林牧渔,2020-08-18,4701.30,4792.61,4676.20,4763.00,37.52,498.10,1.27
92,801010,农林牧渔,2020-08-17,4660.70,4728.06,4660.70,4703.23,31.14,395.48,0.74
93,801010,农林牧渔,2020-08-14,4679.35,4680.80,4603.72,4668.46,34.69,418.26,-0.12
94,801010,农林牧渔,2020-08-13,4588.92,4715.28,4584.77,4674.22,38.94,491.42,2.01
95,801010,农林牧渔,2020-08-12,4617.03,4641.75,4507.37,4582.10,32.00,411.58,-0.87
96,801010,农林牧渔,2020-08-11,4607.72,4709.52,4607.70,4622.08,31.26,425.15,0.31
97,801010,农林牧渔,2020-08-10,4586.72,4627.38,4557.45,4608.01,26.97,355.07,-0.19
98,801010,农林牧渔,2020-08-07,4635.08,4675.01,4555.79,4616.57,32.56,422.74,-0.99
99,801010,农林牧渔,2020-08-06,4747.27,4747.29,4622.60,4662.80,31.45,469.98,-1.87
100,801010,农林牧渔,2020-08-05,4592.18,4752.19,4557.18,4751.67,34.66,493.80,2.97
101,801010,农林牧渔,2020-08-04,4635.10,4706.44,4606.46,4614.72,37.83,513.96,-0.30
102,801010,农林牧渔,2020-08-03,4522.76,4631.92,4522.76,4628.81,33.19,458.75,2.91
103,801010,农林牧渔,2020-07-31,4450.10,4501.67,4418.95,4497.91,29.05,372.47,0.54
104,801010,农林牧渔,2020-07-30,4451.98,4522.52,4443.35,4473.71,32.01,430.41,0.55
105,801010,农林牧渔,2020-07-29,4373.88,4449.25,4338.01,4449.25,22.91,329.88,1.34
106,801010,农林牧渔,2020-07-28,4287.35,4390.60,4268.64,4390.60,25.92,374.56,2.92
107,801010,农林牧渔,2020-07-27,4300.97,4360.60,4231.86,4266.04,23.75,332.11,0.31
108,801010,农林牧渔,2020-07-24,4330.12,4438.06,4221.89,4252.80,30.85,456.68,-2.27
109,801010,农林牧渔,2020-07-23,4355.71,4378.89,4265.17,4351.63,22.67,324.06,-0.72
110,801010,农林牧渔,2020-07-22,4350.51,4396.93,4320.47,4383.33,22.82,322.19,0.39
111,801010,农林牧渔,2020-07-21,4367.17,4375.34,4327.29,4366.27,19.87,268.84,0.23
112,801010,农林牧渔,2020-07-20,4327.82,4362.10,4251.78,4356.12,21.28,296.16,1.99
113,801010,农林牧渔,2020-07-17,4187.49,4313.05,4187.49,4271.24,21.61,296.13,1.96
114,801010,农林牧渔,2020-07-16,4469.95,4469.95,4187.20,4189.34,29.42,398.38,-6.48
115,801010,农林牧渔,2020-07-15,4542.79,4578.78,4477.14,4479.72,35.11,477.85,-1.56
116,801010,农林牧渔,2020-07-14,4557.60,4567.92,4420.50,4550.60,46.75,600.32,1.14
117,801010,农林牧渔,2020-07-13,4283.54,4502.47,4283.54,4499.11,39.46,502.95,6.44
118,801010,农林牧渔,2020-07-10,4268.83,4288.70,4207.23,4226.88,30.88,370.81,-1.53
119,801010,农林牧渔,2020-07-09,4158.79,4292.62,4158.79,4292.62,32.65,431.07,3.51
120,801010,农林牧渔,2020-07-08,4094.50,4147.08,4089.33,4147.08,25.96,333.38,1.05
121,801010,农林牧渔,2020-07-07,4165.19,4165.19,4063.12,4104.05,33.52,443.39,0.28
122,801010,农林牧渔,2020-07-06,3957.94,4092.57,3957.94,4092.57,28.17,360.03,4.29
123,801010,农林牧渔,2020-07-03,3893.08,3927.55,3842.53,3924.40,18.54,240.93,0.53
124,801010,农林牧渔,2020-07-02,3926.03,3938.80,3884.69,3903.89,17.43,242.70,-0.56
125,801010,农林牧渔,2020-07-01,3877.74,3952.50,3859.44,3925.91,18.00,253.93,1.45
126,801010,农林牧渔,2020-06-30,3805.13,3869.92,3799.63,3869.82,14.94,201.55,2.13
127,801010,农林牧渔,2020-06-29,3757.46,3815.04,3757.46,3788.94,16.90,216.59,1.23
128,801010,农林牧渔,2020-06-24,3768.14,3781.93,3734.39,3742.85,14.26,173.21,-0.45
129,801010,农林牧渔,2020-06-23,3784.65,3790.57,3756.34,3759.78,17.48,219.25,-1.03
130,801010,农林牧渔,2020-06-22,3771.19,3824.96,3737.67,3798.98,20.85,267.47,1.22
131,801010,农林牧渔,2020-06-19,3725.42,3762.72,3703.29,3753.07,15.51,196.82,1.09
132,801010,农林牧渔,2020-06-18,3681.02,3731.31,3669.39,3712.63,17.35,214.58,1.01
133,801010,农林牧渔,2020-06-17,3635.33,3681.87,3603.65,3675.37,20.26,220.32,1.10
134,801010,农林牧渔,2020-06-16,3637.62,3637.62,3583.69,3635.38,15.12,167.62,0.43
135,801010,农林牧渔,2020-06-15,3579.56,3672.06,3579.56,3619.88,19.33,230.93,2.06
136,801010,农林牧渔,2020-06-12,3489.59,3561.12,3489.59,3546.89,12.95,152.12,-0.33
137,801010,农林牧渔,2020-06-11,3643.42,3643.42,3554.26,3558.61,17.04,204.28,-3.34
138,801010,农林牧渔,2020-06-10,3662.45,3717.70,3662.45,3681.60,15.37,168.78,0.52
139,801010,农林牧渔,2020-06-09,3664.70,3669.42,3641.81,3662.47,12.73,157.62,0.05
140,801010,农林牧渔,2020-06-08,3663.73,3677.13,3629.26,3660.72,13.78,163.56,0.51
141,801010,农林牧渔,2020-06-05,3710.97,3711.00,3623.46,3642.29,17.77,193.97,-2.01
142,801010,农林牧渔,2020-06-04,3700.64,3735.15,3685.53,3716.90,16.32,176.43,0.64
143,801010,农林牧渔,2020-06-03,3734.14,3734.14,3682.60,3693.18,17.36,197.46,-0.86
144,801010,农林牧渔,2020-06-02,3709.63,3769.21,3709.59,3725.40,23.00,266.84,0.89
145,801010,农林牧渔,2020-06-01,3653.60,3694.39,3633.93,3692.61,17.41,201.78,1.26
146,801010,农林牧渔,2020-05-29,3579.71,3648.69,3572.27,3646.69,14.57,174.70,1.44
147,801010,农林牧渔,2020-05-28,3650.28,3656.30,3565.79,3595.09,15.89,182.02,-1.44
148,801010,农林牧渔,2020-05-27,3678.52,3690.24,3642.51,3647.73,16.80,194.15,-0.91
149,801010,农林牧渔,2020-05-26,3681.08,3681.27,3645.27,3681.27,13.43,164.37,0.30
150,801010,农林牧渔,2020-05-25,3641.25,3687.92,3629.61,3670.19,13.53,183.87,1.15
151,801010,农林牧渔,2020-05-22,3657.45,3708.75,3607.49,3628.39,16.13,196.92,-0.92
152,801010,农林牧渔,2020-05-21,3743.92,3752.40,3650.96,3662.18,18.60,230.63,-1.84
153,801010,农林牧渔,2020-05-20,3777.00,3777.04,3723.50,3730.77,20.48,254.79,-1.55
154,801010,农林牧渔,2020-05-19,3836.85,3839.13,3775.05,3789.42,19.53,242.23,-0.99
155,801010,农林牧渔,2020-05-18,3735.83,3843.86,3735.83,3827.17,23.33,299.02,2.74
156,801010,农林牧渔,2020-05-15,3727.70,3750.04,3714.94,3725.15,15.79,202.85,0.30
157,801010,农林牧渔,2020-05-14,3790.14,3790.19,3712.36,3713.99,19.32,258.05,-2.64
158,801010,农林牧渔,2020-05-13,3795.06,3818.39,3782.70,3814.62,19.70,246.21,0.44
159,801010,农林牧渔,2020-05-12,3783.70,3815.89,3765.55,3797.93,19.76,242.66,0.02
160,801010,农林牧渔,2020-05-11,3858.87,3887.47,3774.80,3797.07,23.05,321.92,-2.03
161,801010,农林牧渔,2020-05-08,3876.26,3886.12,3830.30,3875.62,21.71,270.03,0.18
162,801010,农林牧渔,2020-05-07,3825.78,3920.54,3817.14,3868.78,24.37,294.11,1.05
163,801010,农林牧渔,2020-05-06,3774.69,3835.48,3753.36,3828.41,19.63,249.48,0.38
164,801010,农林牧渔,2020-04-30,3827.01,3832.56,3785.49,3813.87,16.88,207.10,-0.19
165,801010,农林牧渔,2020-04-29,3871.79,3886.08,3815.73,3821.12,19.04,235.31,-1.78
166,801010,农林牧渔,2020-04-28,3905.68,3908.64,3777.47,3890.32,26.88,306.64,-0.59
167,801010,农林牧渔,2020-04-27,3918.70,3973.12,3877.61,3913.56,22.88,278.02,0.52
168,801010,农林牧渔,2020-04-24,3943.48,3954.62,3867.42,3893.12,29.11,321.11,-0.71
169,801010,农林牧渔,2020-04-23,3930.55,4000.55,3920.62,3920.89,40.24,442.56,-0.12
170,801010,农林牧渔,2020-04-22,3744.87,3940.21,3744.87,3925.45,33.49,383.04,4.08
171,801010,农林牧渔,2020-04-21,3786.37,3804.58,3735.11,3771.67,21.72,238.45,-0.84
172,801010,农林牧渔,2020-04-20,3778.62,3813.18,3762.97,3803.59,18.66,208.20,0.82
173,801010,农林牧渔,2020-04-17,3768.78,3806.85,3735.50,3772.79,20.54,242.42,0.46
174,801010,农林牧渔,2020-04-16,3772.61,3797.92,3734.39,3755.57,21.98,247.71,-0.95
175,801010,农林牧渔,2020-04-15,3822.49,3852.79,3779.83,3791.44,25.57,277.31,-1.32
176,801010,农林牧渔,2020-04-14,3787.54,3841.99,3762.37,3841.99,23.64,256.22,1.89
177,801010,农林牧渔,2020-04-13,3797.15,3806.85,3759.30,3770.69,19.11,205.57,-2.73
178,801010,农林牧渔,2020-04-10,3891.03,3953.91,3850.76,3876.38,29.66,311.16,-0.83
179,801010,农林牧渔,2020-04-09,3899.67,3931.88,3813.03,3908.67,35.38,365.53,0.45
180,801010,农林牧渔,2020-04-08,3950.30,3985.96,3874.68,3891.20,37.87,406.50,-1.90
181,801010,农林牧渔,2020-04-07,3821.11,3971.53,3794.66,3966.61,38.21,435.20,4.77
182,801010,农林牧渔,2020-04-03,3708.92,3848.17,3702.33,3786.16,31.39,339.41,1.62
183,801010,农林牧渔,2020-04-02,3749.21,3754.31,3667.65,3725.81,29.40,306.24,-0.99
184,801010,农林牧渔,2020-04-01,3816.02,3825.95,3735.80,3762.96,36.96,393.82,-1.65
185,801010,农林牧渔,2020-03-31,3600.04,3825.95,3593.63,3825.95,38.47,425.20,6.63
186,801010,农林牧渔,2020-03-30,3503.39,3615.09,3503.39,3588.15,29.28,279.95,1.69
187,801010,农林牧渔,2020-03-27,3635.73,3635.73,3528.42,3528.42,26.55,260.84,-2.32
188,801010,农林牧渔,2020-03-26,3535.05,3663.18,3529.53,3612.09,31.36,308.74,1.03
189,801010,农林牧渔,2020-03-25,3553.59,3577.64,3511.56,3575.30,23.13,239.02,2.55
190,801010,农林牧渔,2020-03-24,3460.58,3486.41,3399.06,3486.41,19.10,204.09,2.85
191,801010,农林牧渔,2020-03-23,3397.93,3450.68,3377.82,3389.71,20.53,217.20,-3.37
192,801010,农林牧渔,2020-03-20,3533.21,3536.45,3464.00,3507.77,17.56,202.84,0.34
193,801010,农林牧渔,2020-03-19,3486.26,3509.98,3384.01,3496.02,18.75,216.50,0.42
194,801010,农林牧渔,2020-03-18,3475.56,3633.26,3475.27,3481.48,22.83,276.72,1.14
195,801010,农林牧渔,2020-03-17,3487.79,3528.84,3330.77,3442.39,20.35,205.12,-0.55
196,801010,农林牧渔,2020-03-16,3656.10,3656.10,3442.39,3461.38,28.58,280.62,-4.39
197,801010,农林牧渔,2020-03-13,3424.39,3655.07,3424.39,3620.22,26.55,274.07,0.03
198,801010,农林牧渔,2020-03-12,3694.53,3695.38,3590.74,3619.19,21.37,247.76,-4.04
199,801010,农林牧渔,2020-03-11,3773.40,3891.61,3751.72,3771.44,26.98,309.71,-0.06
200,801010,农林牧渔,2020-03-10,3764.17,3822.65,3633.72,3773.83,22.28,297.37,-0.54
201,801010,农林牧渔,2020-03-09,3797.09,3913.16,3779.79,3794.47,25.79,355.75,-1.59
202,801010,农林牧渔,2020-03-06,3875.36,3948.84,3844.91,3855.70,27.61,377.29,-1.26
203,801010,农林牧渔,2020-03-05,3732.18,3958.01,3717.65,3904.87,31.68,439.70,5.33
204,801010,农林牧渔,2020-03-04,3610.82,3715.41,3610.82,3707.19,22.03,283.10,2.00
205,801010,农林牧渔,2020-03-03,3636.90,3672.71,3604.32,3634.53,22.31,285.28,1.30
206,801010,农林牧渔,2020-03-02,3463.96,3607.54,3463.96,3587.90,17.21,244.72,4.37
207,801010,农林牧渔,2020-02-28,3510.70,3579.62,3430.45,3437.52,19.26,240.27,-4.96
208,801010,农林牧渔,2020-02-27,3612.32,3673.28,3585.79,3616.96,18.28,253.33,0.19
209,801010,农林牧渔,2020-02-26,3616.26,3681.63,3592.33,3610.07,26.39,329.64,-0.35
210,801010,农林牧渔,2020-02-25,3519.43,3626.19,3506.74,3622.74,22.47,289.84,1.22
211,801010,农林牧渔,2020-02-24,3513.03,3610.04,3500.51,3579.13,21.84,256.46,1.24
212,801010,农林牧渔,2020-02-21,3526.65,3568.45,3491.77,3535.22,17.82,222.82,-0.20
213,801010,农林牧渔,2020-02-20,3544.28,3582.97,3496.94,3542.21,19.70,252.76,0.92
214,801010,农林牧渔,2020-02-19,3477.17,3564.72,3477.15,3510.07,22.76,278.71,1.27
215,801010,农林牧渔,2020-02-18,3456.18,3469.39,3423.82,3465.89,22.19,233.39,-0.36
216,801010,农林牧渔,2020-02-17,3423.52,3501.92,3417.62,3478.58,24.91,269.15,2.69
217,801010,农林牧渔,2020-02-14,3297.08,3398.09,3296.90,3387.37,20.05,229.88,2.72
218,801010,农林牧渔,2020-02-13,3307.76,3333.77,3257.42,3297.62,22.94,222.87,-0.27
219,801010,农林牧渔,2020-02-12,3268.69,3339.70,3267.67,3306.57,19.96,206.18,0.90
220,801010,农林牧渔,2020-02-11,3350.91,3366.10,3276.31,3277.20,23.90,242.58,-1.52
221,801010,农林牧渔,2020-02-10,3123.13,3329.71,3123.13,3327.91,21.90,245.96,5.93
222,801010,农林牧渔,2020-02-07,3135.48,3163.39,3105.30,3141.72,16.74,177.43,-0.50
223,801010,农林牧渔,2020-02-06,3074.70,3164.50,3031.83,3157.47,20.31,216.48,4.32
224,801010,农林牧渔,2020-02-05,2966.37,3067.34,2965.56,3026.59,18.30,186.30,2.81
225,801010,农林牧渔,2020-02-04,2771.87,2949.59,2771.87,2943.95,20.04,194.20,2.21
226,801010,农林牧渔,2020-02-03,2866.17,2904.87,2865.91,2880.18,5.89,83.09,-9.30
227,801010,农林牧渔,2020-01-23,3290.92,3293.60,3150.98,3175.56,14.76,164.28,-4.73
228,801010,农林牧渔,2020-01-22,3372.55,3372.65,3276.46,3333.23,12.05,152.18,-1.68
229,801010,农林牧渔,2020-01-21,3441.12,3441.12,3387.85,3390.05,11.96,139.17,-1.87
230,801010,农林牧渔,2020-01-20,3433.32,3456.56,3391.62,3454.75,13.06,154.44,0.64
231,801010,农林牧渔,2020-01-17,3459.15,3469.63,3428.49,3432.69,11.82,136.36,-0.82
232,801010,农林牧渔,2020-01-16,3467.83,3490.71,3446.86,3460.95,13.40,159.11,-0.17
233,801010,农林牧渔,2020-01-15,3538.07,3538.08,3458.79,3466.91,14.60,169.30,-1.52
234,801010,农林牧渔,2020-01-14,3515.16,3546.22,3494.20,3520.44,19.85,213.92,0.08
235,801010,农林牧渔,2020-01-13,3480.89,3517.73,3470.31,3517.73,16.26,180.90,0.68
236,801010,农林牧渔,2020-01-10,3565.13,3565.14,3487.57,3493.82,18.88,207.00,-2.05
237,801010,农林牧渔,2020-01-09,3582.81,3606.12,3547.75,3566.77,22.31,237.45,0.19
238,801010,农林牧渔,2020-01-08,3634.48,3642.81,3559.93,3559.93,22.49,275.67,-1.79
