,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801030,化工,2020-12-31,3598.63,3649.16,3596.85,3649.16,44.11,517.74,1.36
1,801030,化工,2020-12-30,3565.83,3602.91,3565.83,3600.04,46.51,494.71,0.99
2,801030,化工,2020-12-29,3595.28,3596.39,3558.11,3564.63,49.99,516.16,-0.88
3,801030,化工,2020-12-28,3628.05,3628.05,3582.38,3596.14,47.20,565.27,-0.77
4,801030,化工,2020-12-25,3543.82,3626.02,3533.71,3623.95,38.13,475.78,2.14
5,801030,化工,2020-12-24,3571.90,3571.93,3537.00,3548.19,40.40,482.34,-0.67
6,801030,化工,2020-12-23,3557.30,3592.78,3542.80,3571.99,40.89,517.93,0.41
7,801030,化工,2020-12-22,3628.68,3644.15,3553.45,3557.44,47.15,578.36,-2.43
8,801030,化工,2020-12-21,3573.55,3646.18,3573.53,3646.08,42.07,544.88,2.05
9,801030,化工,2020-12-18,3570.37,3608.23,3561.02,3572.90,38.12,486.21,0.12
10,801030,化工,2020-12-17,3525.30,3568.65,3498.17,3568.65,40.58,475.91,1.13
11,801030,化工,2020-12-16,3539.74,3548.82,3523.43,3528.80,38.80,463.14,-0.41
12,801030,化工,2020-12-15,3532.67,3545.98,3507.99,3543.16,35.78,424.41,0.23
13,801030,化工,2020-12-14,3507.16,3538.22,3490.17,3534.96,38.57,464.68,0.78
14,801030,化工,2020-12-11,3552.81,3570.63,3476.28,3507.76,44.05,502.84,-1.13
15,801030,化工,2020-12-10,3539.73,3572.84,3520.35,3547.88,37.22,441.98,-0.09
16,801030,化工,2020-12-09,3605.26,3613.19,3549.75,3551.11,42.04,497.28,-1.38
17,801030,化工,2020-12-08,3589.96,3613.36,3589.96,3600.85,36.11,470.50,0.26
18,801030,化工,2020-12-07,3601.54,3613.33,3586.17,3591.57,39.50,475.02,-0.30
19,801030,化工,2020-12-04,3575.88,3606.30,3564.42,3602.47,42.50,495.90,0.72
20,801030,化工,2020-12-03,3609.25,3609.36,3569.27,3576.80,43.50,516.29,-0.83
21,801030,化工,2020-12-02,3602.54,3612.29,3579.22,3606.75,46.87,579.32,0.13
22,801030,化工,2020-12-01,3552.34,3604.45,3544.32,3602.16,46.90,569.12,1.27
23,801030,化工,2020-11-30,3587.31,3605.93,3556.17,3556.83,49.65,597.29,-0.85
24,801030,化工,2020-11-27,3596.31,3596.40,3540.64,3587.30,43.85,532.00,-0.05
25,801030,化工,2020-11-26,3623.40,3627.29,3546.62,3589.13,50.31,613.01,-1.13
26,801030,化工,2020-11-25,3728.89,3730.74,3630.07,3630.07,65.40,739.34,-2.21
27,801030,化工,2020-11-24,3700.34,3712.00,3676.38,3712.00,59.59,718.17,0.12
28,801030,化工,2020-11-23,3668.50,3744.73,3661.27,3707.39,75.96,866.35,1.50
29,801030,化工,2020-11-20,3624.58,3657.41,3619.77,3652.63,54.07,623.76,0.55
30,801030,化工,2020-11-19,3635.50,3636.74,3598.49,3632.53,60.44,710.61,-0.37
31,801030,化工,2020-11-18,3622.09,3656.89,3615.31,3646.12,64.23,761.13,0.40
32,801030,化工,2020-11-17,3666.22,3669.75,3604.38,3631.55,58.64,727.77,-1.10
33,801030,化工,2020-11-16,3592.86,3672.03,3585.50,3672.03,65.11,780.75,2.66
34,801030,化工,2020-11-13,3568.79,3588.16,3540.45,3576.76,51.38,632.85,-0.03
35,801030,化工,2020-11-12,3540.87,3577.93,3536.27,3577.93,49.69,606.57,1.17
36,801030,化工,2020-11-11,3536.50,3583.93,3532.63,3536.62,54.57,669.71,-0.29
37,801030,化工,2020-11-10,3539.70,3567.07,3526.81,3546.74,54.57,700.37,0.67
38,801030,化工,2020-11-09,3480.27,3537.41,3480.19,3523.09,53.08,692.34,2.01
39,801030,化工,2020-11-06,3488.58,3488.58,3431.29,3453.57,44.31,585.45,-0.65
40,801030,化工,2020-11-05,3425.21,3476.13,3424.68,3476.13,45.57,568.19,2.34
41,801030,化工,2020-11-04,3380.71,3402.51,3367.32,3396.62,38.14,456.42,0.34
42,801030,化工,2020-11-03,3357.71,3385.14,3346.81,3385.14,39.15,474.54,1.31
43,801030,化工,2020-11-02,3304.24,3344.63,3286.31,3341.42,40.49,487.94,1.12
44,801030,化工,2020-10-30,3380.53,3380.67,3298.01,3304.31,46.25,553.09,-2.12
45,801030,化工,2020-10-29,3368.68,3396.58,3362.83,3375.89,42.03,535.50,-1.04
46,801030,化工,2020-10-28,3361.99,3415.93,3355.49,3411.35,41.33,544.47,1.76
47,801030,化工,2020-10-27,3324.52,3352.76,3321.22,3352.50,34.52,443.68,0.37
48,801030,化工,2020-10-26,3333.09,3345.33,3284.06,3340.09,30.24,386.71,-0.09
49,801030,化工,2020-10-23,3389.98,3413.07,3333.29,3343.25,35.61,462.78,-1.34
50,801030,化工,2020-10-22,3406.45,3406.71,3360.54,3388.69,36.34,459.64,-0.66
51,801030,化工,2020-10-21,3467.70,3467.71,3403.36,3411.13,36.55,466.73,-1.56
52,801030,化工,2020-10-20,3421.95,3465.22,3410.76,3465.22,35.40,449.12,1.05
53,801030,化工,2020-10-19,3468.69,3475.93,3418.93,3429.16,40.28,492.23,-0.40
54,801030,化工,2020-10-16,3464.82,3471.35,3419.09,3442.93,38.58,483.92,-0.66
55,801030,化工,2020-10-15,3497.57,3499.20,3464.12,3465.73,42.85,553.80,-0.70
56,801030,化工,2020-10-14,3479.86,3494.73,3474.98,3490.04,46.12,607.64,0.21
57,801030,化工,2020-10-13,3446.86,3487.63,3427.53,3482.75,43.53,565.93,1.03
58,801030,化工,2020-10-12,3360.05,3447.29,3359.34,3447.29,49.90,649.92,3.32
59,801030,化工,2020-10-09,3277.39,3339.21,3275.91,3336.51,37.82,485.88,3.75
60,801030,化工,2020-09-30,3244.80,3244.80,3196.40,3215.80,29.09,342.55,-0.65
61,801030,化工,2020-09-29,3216.23,3250.35,3207.62,3236.93,29.16,358.75,1.34
62,801030,化工,2020-09-28,3237.24,3241.67,3193.27,3194.07,28.29,328.47,-1.08
63,801030,化工,2020-09-25,3267.39,3267.40,3217.34,3229.10,29.22,341.53,-0.57
64,801030,化工,2020-09-24,3308.89,3309.07,3247.65,3247.65,40.55,446.16,-2.50
65,801030,化工,2020-09-23,3333.84,3339.21,3303.37,3331.06,37.59,441.33,0.39
66,801030,化工,2020-09-22,3361.55,3368.67,3312.84,3318.28,39.56,449.74,-2.19
67,801030,化工,2020-09-21,3406.12,3410.73,3381.79,3392.43,39.63,474.18,-0.06
68,801030,化工,2020-09-18,3348.79,3401.53,3348.79,3394.55,45.41,528.43,1.34
69,801030,化工,2020-09-17,3326.45,3367.38,3320.93,3349.68,44.32,509.08,0.73
70,801030,化工,2020-09-16,3333.63,3338.34,3314.60,3325.44,44.49,459.50,-0.33
71,801030,化工,2020-09-15,3298.55,3338.35,3282.66,3336.59,46.41,483.77,1.23
72,801030,化工,2020-09-14,3271.29,3307.70,3265.64,3295.90,47.00,475.67,1.36
73,801030,化工,2020-09-11,3200.52,3255.97,3196.21,3251.81,43.51,401.55,1.12
74,801030,化工,2020-09-10,3308.34,3311.05,3208.34,3215.92,64.11,554.38,-2.00
75,801030,化工,2020-09-09,3339.14,3346.53,3277.37,3281.49,74.72,685.88,-3.10
76,801030,化工,2020-09-08,3388.01,3390.83,3331.08,3386.44,58.78,558.00,0.05
77,801030,化工,2020-09-07,3446.64,3468.22,3371.42,3384.87,56.84,635.05,-1.89
78,801030,化工,2020-09-04,3393.27,3453.88,3393.27,3449.99,47.73,536.24,-0.10
79,801030,化工,2020-09-03,3469.26,3487.47,3439.05,3453.54,55.89,606.14,-0.29
80,801030,化工,2020-09-02,3456.81,3477.61,3426.20,3463.50,55.44,575.81,0.41
81,801030,化工,2020-09-01,3414.68,3449.22,3409.86,3449.22,46.87,504.55,0.80
82,801030,化工,2020-08-31,3435.01,3463.87,3421.79,3421.79,52.68,597.06,0.11
83,801030,化工,2020-08-28,3363.48,3423.00,3353.79,3417.94,49.66,539.43,1.47
84,801030,化工,2020-08-27,3344.16,3375.72,3326.42,3368.28,53.43,561.64,0.95
85,801030,化工,2020-08-26,3410.81,3410.86,3321.16,3336.53,61.42,634.55,-2.23
86,801030,化工,2020-08-25,3421.75,3433.76,3401.19,3412.77,62.33,633.72,-0.17
87,801030,化工,2020-08-24,3397.46,3424.80,3371.26,3418.60,54.62,576.49,0.93
88,801030,化工,2020-08-21,3381.31,3397.81,3361.02,3387.04,58.42,563.96,0.55
89,801030,化工,2020-08-20,3377.16,3404.90,3358.53,3368.56,59.30,579.20,-1.22
90,801030,化工,2020-08-19,3445.12,3467.25,3409.76,3410.10,73.63,765.00,-1.09
91,801030,化工,2020-08-18,3425.54,3450.94,3417.52,3447.84,64.68,661.91,1.00
92,801030,化工,2020-08-17,3360.65,3415.74,3344.51,3413.66,65.83,663.41,2.03
93,801030,化工,2020-08-14,3322.80,3347.11,3293.76,3345.66,59.20,547.63,0.63
94,801030,化工,2020-08-13,3313.41,3351.46,3304.26,3324.59,68.21,637.26,0.57
95,801030,化工,2020-08-12,3336.77,3344.53,3238.62,3305.85,71.63,739.91,-1.25
96,801030,化工,2020-08-11,3418.83,3433.60,3346.33,3347.68,75.93,780.32,-1.89
97,801030,化工,2020-08-10,3399.50,3432.63,3377.22,3412.16,66.88,750.57,-0.01
98,801030,化工,2020-08-07,3421.62,3440.09,3361.96,3412.61,67.94,759.28,-0.61
99,801030,化工,2020-08-06,3440.81,3454.02,3389.01,3433.53,75.45,821.53,0.02
100,801030,化工,2020-08-05,3373.08,3440.82,3359.33,3433.01,73.13,818.00,1.52
101,801030,化工,2020-08-04,3392.44,3405.51,3369.40,3381.76,80.70,912.81,0.18
102,801030,化工,2020-08-03,3316.59,3375.60,3306.49,3375.60,70.91,809.74,2.69
103,801030,化工,2020-07-31,3243.45,3302.90,3229.81,3287.16,60.80,660.04,1.13
104,801030,化工,2020-07-30,3251.85,3275.73,3244.43,3250.48,60.62,647.69,0.53
105,801030,化工,2020-07-29,3144.84,3233.25,3127.57,3233.25,55.88,596.75,2.39
106,801030,化工,2020-07-28,3129.40,3159.28,3121.09,3157.73,51.55,540.34,1.61
107,801030,化工,2020-07-27,3114.54,3132.78,3080.30,3107.67,50.37,530.65,0.27
108,801030,化工,2020-07-24,3234.68,3235.04,3084.58,3099.36,70.26,729.93,-4.59
109,801030,化工,2020-07-23,3229.59,3261.43,3168.81,3248.32,63.33,669.26,-0.28
110,801030,化工,2020-07-22,3230.47,3278.36,3229.83,3257.59,59.61,642.10,0.92
111,801030,化工,2020-07-21,3221.67,3231.82,3202.17,3227.90,58.38,645.18,0.50
112,801030,化工,2020-07-20,3121.61,3214.37,3121.40,3211.86,65.02,704.70,4.42
113,801030,化工,2020-07-17,3029.84,3101.42,3029.81,3075.91,53.22,573.99,1.74
114,801030,化工,2020-07-16,3156.83,3179.01,3022.15,3023.26,68.93,717.03,-4.29
115,801030,化工,2020-07-15,3195.43,3214.24,3131.10,3158.65,80.41,836.88,-0.86
116,801030,化工,2020-07-14,3227.61,3227.68,3128.57,3186.11,79.46,874.23,-1.32
117,801030,化工,2020-07-13,3139.46,3228.59,3139.46,3228.59,77.66,880.48,3.30
118,801030,化工,2020-07-10,3129.48,3153.05,3114.39,3125.34,70.11,785.67,-0.48
119,801030,化工,2020-07-09,3071.01,3140.46,3071.01,3140.46,77.83,824.97,2.27
120,801030,化工,2020-07-08,3019.03,3070.77,2996.82,3070.77,66.73,719.19,1.63
121,801030,化工,2020-07-07,3009.37,3056.24,2995.02,3021.57,76.67,775.31,1.33
122,801030,化工,2020-07-06,2894.13,2984.40,2894.11,2981.91,72.02,713.67,3.95
123,801030,化工,2020-07-03,2844.84,2868.85,2843.14,2868.60,48.71,495.03,0.96
124,801030,化工,2020-07-02,2796.24,2842.03,2789.91,2841.39,44.63,477.78,1.56
125,801030,化工,2020-07-01,2789.05,2797.77,2771.31,2797.77,33.86,396.46,0.63
126,801030,化工,2020-06-30,2759.12,2781.78,2758.97,2780.36,29.90,343.59,1.17
127,801030,化工,2020-06-29,2758.34,2763.82,2737.38,2748.18,31.56,345.43,-0.69
128,801030,化工,2020-06-24,2768.42,2773.97,2759.93,2767.40,30.10,353.09,0.01
129,801030,化工,2020-06-23,2771.99,2772.01,2756.42,2767.10,31.03,349.99,-0.20
130,801030,化工,2020-06-22,2778.08,2783.51,2766.75,2772.76,34.15,410.34,-0.05
131,801030,化工,2020-06-19,2750.20,2777.78,2750.20,2774.08,31.95,367.40,0.88
132,801030,化工,2020-06-18,2738.16,2751.61,2731.05,2749.75,33.26,364.53,0.27
133,801030,化工,2020-06-17,2744.85,2744.86,2723.56,2742.21,34.67,379.47,-0.03
134,801030,化工,2020-06-16,2711.74,2743.10,2711.57,2743.10,32.51,377.12,1.91
135,801030,化工,2020-06-15,2701.41,2721.23,2691.57,2691.57,35.65,404.61,-0.50
136,801030,化工,2020-06-12,2659.09,2713.01,2657.07,2705.23,32.95,371.01,-0.14
137,801030,化工,2020-06-11,2725.04,2744.89,2701.00,2709.12,34.94,388.47,-0.56
138,801030,化工,2020-06-10,2735.26,2735.27,2709.08,2724.45,31.41,343.32,-0.70
139,801030,化工,2020-06-09,2730.97,2743.73,2723.60,2743.73,35.99,386.59,0.60
140,801030,化工,2020-06-08,2729.63,2742.13,2720.66,2727.27,36.88,408.25,0.44
141,801030,化工,2020-06-05,2717.78,2717.81,2694.43,2715.19,35.15,390.75,-0.04
142,801030,化工,2020-06-04,2722.76,2722.82,2702.97,2716.19,36.03,408.05,0.10
143,801030,化工,2020-06-03,2704.85,2734.44,2704.09,2713.37,42.26,482.64,0.59
144,801030,化工,2020-06-02,2684.37,2702.28,2679.55,2697.58,36.76,429.63,0.68
145,801030,化工,2020-06-01,2627.33,2681.48,2627.29,2679.41,38.45,427.96,2.60
146,801030,化工,2020-05-29,2590.71,2619.68,2587.80,2611.53,28.77,343.77,0.76
147,801030,化工,2020-05-28,2605.90,2616.38,2565.67,2591.84,30.57,350.40,-0.55
