,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801040,钢铁,2020-12-31,2221.16,2237.43,2212.23,2237.34,10.59,50.32,0.79
1,801040,钢铁,2020-12-30,2204.48,2235.55,2203.98,2219.71,11.13,51.32,0.78
2,801040,钢铁,2020-12-29,2231.74,2239.78,2200.86,2202.50,11.61,53.15,-1.31
3,801040,钢铁,2020-12-28,2262.49,2262.49,2221.57,2231.75,11.75,53.23,-1.38
4,801040,钢铁,2020-12-25,2215.17,2266.20,2207.83,2262.96,12.87,54.39,1.91
5,801040,钢铁,2020-12-24,2238.09,2250.00,2212.68,2220.51,9.57,48.38,-0.64
6,801040,钢铁,2020-12-23,2219.15,2252.39,2216.52,2234.83,11.88,58.72,0.50
7,801040,钢铁,2020-12-22,2302.99,2302.99,2222.24,2223.69,16.37,78.27,-3.30
8,801040,钢铁,2020-12-21,2289.91,2305.13,2280.66,2299.68,15.69,67.70,1.27
9,801040,钢铁,2020-12-18,2228.63,2285.88,2228.63,2270.75,18.32,71.35,2.06
10,801040,钢铁,2020-12-17,2165.84,2229.01,2164.97,2224.93,13.00,62.77,2.61
11,801040,钢铁,2020-12-16,2179.17,2188.30,2155.38,2168.29,8.43,44.44,-0.48
12,801040,钢铁,2020-12-15,2178.97,2184.15,2156.33,2178.81,9.93,48.82,0.12
13,801040,钢铁,2020-12-14,2208.89,2208.89,2157.79,2176.15,15.75,69.15,-2.18
14,801040,钢铁,2020-12-11,2261.47,2273.99,2201.65,2224.67,19.66,82.64,-0.98
15,801040,钢铁,2020-12-10,2199.70,2250.00,2199.69,2246.66,18.46,78.85,2.69
16,801040,钢铁,2020-12-09,2207.54,2225.16,2187.80,2187.80,10.32,44.64,-0.75
17,801040,钢铁,2020-12-08,2225.92,2228.36,2203.72,2204.39,10.01,43.34,-1.06
18,801040,钢铁,2020-12-07,2247.02,2250.14,2215.76,2228.08,11.52,53.00,-0.72
19,801040,钢铁,2020-12-04,2251.67,2251.67,2215.32,2244.18,12.12,52.54,-0.50
20,801040,钢铁,2020-12-03,2285.75,2285.75,2251.20,2255.55,14.80,63.23,-1.43
21,801040,钢铁,2020-12-02,2278.02,2295.05,2263.64,2288.32,16.40,72.11,0.73
22,801040,钢铁,2020-12-01,2253.97,2277.82,2244.52,2271.83,13.30,60.52,0.92
23,801040,钢铁,2020-11-30,2289.07,2318.19,2251.05,2251.05,20.53,91.72,-2.00
24,801040,钢铁,2020-11-27,2295.76,2332.34,2274.28,2297.09,17.26,74.56,0.21
25,801040,钢铁,2020-11-26,2305.40,2315.53,2282.27,2292.33,14.08,66.01,-1.26
26,801040,钢铁,2020-11-25,2395.24,2395.24,2321.67,2321.67,22.39,91.08,-2.83
27,801040,钢铁,2020-11-24,2362.93,2395.70,2356.11,2389.24,21.59,75.47,0.93
28,801040,钢铁,2020-11-23,2355.57,2399.27,2350.48,2367.15,26.60,96.22,0.83
29,801040,钢铁,2020-11-20,2305.82,2350.98,2292.80,2347.76,15.26,56.12,1.91
30,801040,钢铁,2020-11-19,2324.78,2333.66,2296.67,2303.76,11.96,51.43,-1.05
31,801040,钢铁,2020-11-18,2301.74,2338.98,2295.56,2328.32,15.16,74.64,1.06
32,801040,钢铁,2020-11-17,2328.16,2337.61,2293.72,2303.96,17.07,78.80,-0.92
33,801040,钢铁,2020-11-16,2256.63,2325.24,2256.63,2325.24,22.33,84.92,3.27
34,801040,钢铁,2020-11-13,2246.84,2263.00,2225.17,2251.62,14.67,60.76,-0.12
35,801040,钢铁,2020-11-12,2235.20,2254.55,2220.99,2254.27,12.83,60.64,0.74
36,801040,钢铁,2020-11-11,2213.38,2264.51,2213.38,2237.78,19.91,79.95,1.06
37,801040,钢铁,2020-11-10,2237.79,2244.93,2205.61,2214.30,14.70,69.55,-0.63
38,801040,钢铁,2020-11-09,2197.32,2235.05,2197.32,2228.45,17.92,78.71,2.47
39,801040,钢铁,2020-11-06,2162.36,2177.77,2158.32,2174.81,11.98,60.13,0.51
40,801040,钢铁,2020-11-05,2106.69,2164.77,2106.69,2163.87,15.99,76.79,3.14
41,801040,钢铁,2020-11-04,2084.07,2099.78,2060.82,2097.93,9.18,48.24,0.91
42,801040,钢铁,2020-11-03,2064.16,2084.32,2061.59,2079.04,9.78,42.25,1.35
43,801040,钢铁,2020-11-02,2037.45,2056.91,2031.75,2051.25,10.11,49.78,1.07
44,801040,钢铁,2020-10-30,2066.35,2069.68,2027.42,2029.60,9.95,45.48,-1.66
45,801040,钢铁,2020-10-29,2050.94,2072.03,2046.59,2063.78,8.04,44.34,-0.04
46,801040,钢铁,2020-10-28,2058.04,2070.73,2049.10,2064.68,8.58,46.04,0.31
47,801040,钢铁,2020-10-27,2044.12,2058.26,2041.40,2058.26,7.58,39.79,0.33
48,801040,钢铁,2020-10-26,2040.03,2052.82,2037.34,2051.49,6.17,34.32,0.51
49,801040,钢铁,2020-10-23,2049.78,2056.79,2037.72,2041.18,7.53,39.00,-0.36
50,801040,钢铁,2020-10-22,2054.06,2056.57,2045.78,2048.46,6.14,33.26,-0.45
51,801040,钢铁,2020-10-21,2059.94,2059.94,2047.03,2057.75,6.64,36.54,0.09
52,801040,钢铁,2020-10-20,2062.13,2062.45,2041.56,2055.84,6.73,32.58,-0.37
53,801040,钢铁,2020-10-19,2070.91,2095.49,2057.84,2063.44,9.37,44.79,-0.01
54,801040,钢铁,2020-10-16,2039.01,2069.03,2039.01,2063.61,9.77,47.90,1.27
55,801040,钢铁,2020-10-15,2035.90,2048.78,2028.55,2037.80,7.25,31.62,0.06
56,801040,钢铁,2020-10-14,2044.35,2044.35,2032.57,2036.48,7.20,35.46,-0.44
57,801040,钢铁,2020-10-13,2057.94,2059.13,2040.09,2045.53,6.74,30.04,-0.81
58,801040,钢铁,2020-10-12,2036.27,2062.75,2036.09,2062.20,9.97,40.28,1.46
59,801040,钢铁,2020-10-09,2014.05,2036.19,2014.05,2032.54,6.98,30.70,1.86
60,801040,钢铁,2020-09-30,2010.71,2017.39,1984.53,1995.45,5.79,26.13,-0.64
