index_code,index_name,date,open,high,low,close,vol,amount,change_pct
801050,有色金属,2020-12-31,4031.99,4124.45,4031.99,4094.32,50.96,535.13,1.45
801050,有色金属,2020-12-30,3955.20,4069.59,3955.20,4035.94,52.05,526.66,2.56
801050,有色金属,2020-12-29,4130.85,4130.85,3934.60,3935.07,56.72,577.95,-4.71
801050,有色金属,2020-12-28,4119.83,4170.55,4080.67,4129.49,62.79,635.51,0.53
801050,有色金属,2020-12-25,3899.93,4108.72,3892.57,4107.82,58.29,593.23,4.89
801050,有色金属,2020-12-24,3934.60,3978.92,3892.54,3916.27,41.58,434.61,-0.01
801050,有色金属,2020-12-23,3839.32,3963.03,3838.67,3916.58,51.51,537.97,1.74
801050,有色金属,2020-12-22,3982.62,4007.72,3841.37,3849.47,61.34,626.92,-4.43
801050,有色金属,2020-12-21,3941.49,4027.83,3934.50,4027.83,58.35,603.21,2.74
801050,有色金属,2020-12-18,3863.98,3951.17,3854.58,3920.36,58.81,572.56,1.92
801050,有色金属,2020-12-17,3688.54,3852.21,3680.91,3846.69,56.70,506.13,4.09
801050,有色金属,2020-12-16,3704.54,3725.58,3660.17,3695.47,30.68,298.19,0.12
801050,有色金属,2020-12-15,3684.07,3694.22,3642.82,3691.05,29.74,299.65,-0.22
801050,有色金属,2020-12-14,3638.49,3700.24,3599.46,3699.31,31.77,300.51,1.01
801050,有色金属,2020-12-11,3778.49,3790.77,3620.88,3662.33,42.58,400.98,-1.56
801050,有色金属,2020-12-10,3726.57,3733.08,3674.61,3720.45,33.85,338.99,-1.14
801050,有色金属,2020-12-09,3818.77,3867.30,3761.82,3763.37,39.29,424.60,-1.24
801050,有色金属,2020-12-08,3825.51,3842.30,3781.33,3810.52,35.54,354.86,0.17
801050,有色金属,2020-12-07,3831.56,3857.72,3799.08,3803.96,38.56,379.00,-0.76
801050,有色金属,2020-12-04,3741.39,3834.94,3740.44,3833.24,38.23,365.00,2.23
801050,有色金属,2020-12-03,3832.52,3832.52,3742.26,3749.48,46.09,406.75,-2.93
801050,有色金属,2020-12-02,3898.94,3935.36,3840.20,3862.70,50.18,466.62,-0.34
801050,有色金属,2020-12-01,3823.95,3876.27,3789.86,3875.99,44.87,415.03,0.45
801050,有色金属,2020-11-30,3808.05,3928.34,3786.97,3858.53,63.35,574.90,1.20
801050,有色金属,2020-11-27,3831.83,3836.10,3728.85,3812.66,46.22,433.14,-0.44
801050,有色金属,2020-11-26,3831.98,3843.13,3774.49,3829.68,50.13,474.12,0.18
801050,有色金属,2020-11-25,3943.06,3967.70,3822.79,3822.79,68.97,644.92,-3.19
801050,有色金属,2020-11-24,3855.31,3955.98,3832.88,3948.87,75.63,696.54,1.32
801050,有色金属,2020-11-23,3822.43,3952.24,3804.29,3897.25,86.66,750.83,2.96
801050,有色金属,2020-11-20,3646.80,3796.41,3646.80,3785.08,60.34,504.98,3.46
801050,有色金属,2020-11-19,3687.35,3687.38,3607.38,3658.63,49.26,429.00,-1.16
801050,有色金属,2020-11-18,3675.84,3755.99,3662.68,3701.51,57.81,518.03,0.67
801050,有色金属,2020-11-17,3715.55,3746.47,3649.21,3676.78,56.98,545.22,-1.27
801050,有色金属,2020-11-16,3576.91,3754.31,3575.71,3724.03,64.53,604.69,4.33
801050,有色金属,2020-11-13,3541.23,3593.49,3529.78,3569.46,41.14,421.00,1.24
801050,有色金属,2020-11-12,3508.49,3546.13,3480.15,3525.78,32.33,320.77,0.38
801050,有色金属,2020-11-11,3530.93,3564.31,3509.34,3512.45,41.47,410.02,-0.96
801050,有色金属,2020-11-10,3571.06,3581.22,3530.20,3546.58,45.41,442.66,-1.88
801050,有色金属,2020-11-09,3528.18,3641.56,3524.88,3614.65,47.49,470.78,3.36
801050,有色金属,2020-11-06,3484.53,3528.15,3472.09,3497.29,34.78,402.89,1.50
801050,有色金属,2020-11-05,3420.18,3451.43,3397.42,3445.58,27.80,304.40,1.48
801050,有色金属,2020-11-04,3387.34,3403.40,3367.54,3395.21,27.09,283.86,0.23
801050,有色金属,2020-11-03,3267.39,3400.51,3267.26,3387.40,35.77,342.69,4.31
801050,有色金属,2020-11-02,3205.63,3251.25,3193.21,3247.52,21.93,208.42,1.43
801050,有色金属,2020-10-30,3284.10,3284.78,3196.59,3201.79,23.05,235.88,-2.45
