index_code,index_name,date,open,high,low,close,vol,amount,change_pct
801080,电子元器件,2020-12-31,4670.14,4747.35,4669.51,4734.59,52.93,955.28,1.34
801080,电子元器件,2020-12-30,4590.71,4676.29,4585.93,4671.98,58.75,936.45,1.23
801080,电子元器件,2020-12-29,4602.61,4680.21,4591.00,4615.26,51.56,866.98,0.36
801080,电子元器件,2020-12-28,4649.93,4649.93,4586.90,4598.77,43.86,781.70,-1.34
801080,电子元器件,2020-12-25,4646.87,4688.08,4629.92,4661.12,43.67,814.21,0.17
801080,电子元器件,2020-12-24,4674.94,4710.09,4629.75,4653.06,52.48,913.88,-0.45
801080,电子元器件,2020-12-23,4584.10,4674.10,4580.61,4674.10,58.13,1035.77,2.36
801080,电子元器件,2020-12-22,4656.48,4670.04,4566.17,4566.17,56.79,954.11,-2.38
801080,电子元器件,2020-12-21,4566.62,4677.71,4557.86,4677.39,52.70,942.63,1.92
801080,电子元器件,2020-12-18,4647.00,4652.24,4575.32,4589.06,39.71,767.16,-0.62
801080,电子元器件,2020-12-17,4590.66,4619.09,4540.78,4617.82,41.65,735.34,0.37
801080,电子元器件,2020-12-16,4656.84,4659.45,4599.38,4600.85,42.13,767.21,-1.13
801080,电子元器件,2020-12-15,4647.73,4681.53,4616.56,4653.38,43.00,772.61,-0.02
801080,电子元器件,2020-12-14,4633.51,4657.29,4598.02,4654.40,44.73,850.21,0.57
801080,电子元器件,2020-12-11,4715.03,4715.03,4589.86,4627.89,56.04,1045.82,-1.84
801080,电子元器件,2020-12-10,4686.40,4753.79,4661.11,4714.82,46.18,846.23,0.22
801080,电子元器件,2020-12-09,4788.29,4810.05,4704.60,4704.60,58.90,1044.89,-1.82
801080,电子元器件,2020-12-08,4788.52,4810.19,4774.58,4792.02,52.30,875.61,0.05
801080,电子元器件,2020-12-07,4827.61,4844.89,4786.65,4789.61,56.79,1005.03,-0.05
801080,电子元器件,2020-12-04,4758.48,4802.64,4749.84,4791.95,60.91,953.48,0.25
801080,电子元器件,2020-12-03,4828.75,4847.28,4777.98,4780.07,73.80,1113.68,-0.86
801080,电子元器件,2020-12-02,4770.68,4838.10,4755.94,4821.41,77.68,1186.08,1.28
801080,电子元器件,2020-12-01,4684.66,4760.40,4681.67,4760.40,55.71,900.04,1.49
801080,电子元器件,2020-11-30,4685.04,4733.89,4642.93,4690.54,56.82,1002.53,0.61
801080,电子元器件,2020-11-27,4628.89,4663.79,4595.76,4662.03,38.95,737.62,0.84
801080,电子元器件,2020-11-26,4653.32,4678.88,4596.72,4623.18,44.22,783.55,-0.72
801080,电子元器件,2020-11-25,4702.93,4734.93,4656.55,4656.55,48.02,875.90,-0.80
801080,电子元器件,2020-11-24,4679.68,4726.90,4665.44,4694.28,43.80,878.32,0.13
801080,电子元器件,2020-11-23,4696.73,4716.68,4650.20,4688.41,44.90,816.27,-0.34
801080,电子元器件,2020-11-20,4709.85,4751.40,4688.03,4704.45,39.87,720.34,-0.25
801080,电子元器件,2020-11-19,4659.70,4734.95,4638.26,4716.11,43.81,803.42,0.74
801080,电子元器件,2020-11-18,4663.76,4704.76,4646.27,4681.62,51.83,900.42,-0.19
801080,电子元器件,2020-11-17,4686.25,4692.30,4569.36,4690.53,53.33,1058.74,-0.31
801080,电子元器件,2020-11-16,4770.67,4770.67,4672.86,4705.29,44.51,917.34,-1.12
801080,电子元器件,2020-11-13,4729.43,4783.22,4702.09,4758.72,49.64,924.48,0.05
801080,电子元器件,2020-11-12,4768.07,4785.57,4730.91,4756.22,45.20,774.60,0.58
801080,电子元器件,2020-11-11,4866.38,4882.51,4728.97,4728.97,58.57,1091.43,-3.65
801080,电子元器件,2020-11-10,4956.73,4956.73,4874.38,4908.10,63.90,1320.98,-1.75
801080,电子元器件,2020-11-09,4858.72,5045.84,4858.67,4995.43,79.64,1659.38,4.01
801080,电子元器件,2020-11-06,4773.06,4802.93,4743.41,4802.93,58.73,1073.31,0.85
801080,电子元器件,2020-11-05,4741.91,4767.02,4690.03,4762.26,52.38,993.71,1.97
801080,电子元器件,2020-11-04,4658.67,4694.28,4638.56,4670.08,42.40,858.19,0.24
801080,电子元器件,2020-11-03,4617.28,4680.33,4588.32,4659.00,52.87,992.26,1.35
801080,电子元器件,2020-11-02,4515.88,4603.95,4500.36,4597.06,53.16,999.49,1.94
801080,电子元器件,2020-10-30,4597.64,4612.03,4502.34,4509.42,54.68,1120.65,-1.68
801080,电子元器件,2020-10-29,4530.52,4605.60,4530.52,4586.64,45.74,820.03,-0.45
801080,电子元器件,2020-10-28,4547.68,4627.91,4494.68,4607.42,47.95,924.78,1.33
801080,电子元器件,2020-10-27,4494.45,4549.87,4488.16,4546.84,38.09,699.43,0.70
801080,电子元器件,2020-10-26,4443.55,4540.68,4421.53,4515.07,36.03,685.85,1.22
801080,电子元器件,2020-10-23,4547.55,4578.48,4452.07,4460.76,39.30,688.40,-1.49
801080,电子元器件,2020-10-22,4494.55,4551.70,4472.78,4528.37,39.41,658.92,0.11
801080,电子元器件,2020-10-21,4616.48,4616.48,4498.97,4523.20,38.96,718.76,-2.07
801080,电子元器件,2020-10-20,4554.00,4618.90,4523.19,4618.90,42.24,685.04,1.43
801080,电子元器件,2020-10-19,4621.09,4629.07,4545.46,4553.76,38.25,667.94,-0.48
801080,电子元器件,2020-10-16,4627.24,4637.95,4545.14,4575.73,38.38,683.93,-1.09
801080,电子元器件,2020-10-15,4655.93,4676.25,4624.78,4626.13,43.31,753.32,-0.57
801080,电子元器件,2020-10-14,4719.39,4719.44,4642.23,4652.74,52.62,927.55,-2.08
801080,电子元器件,2020-10-13,4755.48,4775.09,4706.77,4751.75,49.62,964.58,-0.17
801080,电子元器件,2020-10-12,4669.74,4760.04,4660.04,4760.04,61.53,1131.05,2.71
801080,电子元器件,2020-10-09,4551.99,4634.40,4545.88,4634.40,48.54,848.31,4.20
801080,电子元器件,2020-09-30,4473.37,4487.62,4427.41,4447.50,34.03,533.99,-0.24
801080,电子元器件,2020-09-29,4439.75,4485.02,4429.75,4458.35,35.46,576.06,1.23
801080,电子元器件,2020-09-28,4425.03,4448.53,4400.26,4404.03,31.81,551.68,-0.21
801080,电子元器件,2020-09-25,4470.41,4470.41,4397.01,4413.31,33.15,540.20,-0.70
801080,电子元器件,2020-09-24,4512.06,4518.29,4444.39,4444.39,45.62,691.35,-2.45
801080,电子元器件,2020-09-23,4546.00,4571.26,4505.02,4555.97,39.42,664.59,0.67
801080,电子元器件,2020-09-22,4545.06,4589.16,4515.06,4525.54,44.51,686.43,-1.30
801080,电子元器件,2020-09-21,4620.36,4654.34,4581.49,4585.20,47.09,785.77,-0.74
801080,电子元器件,2020-09-18,4563.35,4619.58,4543.57,4619.58,50.37,850.29,1.28
801080,电子元器件,2020-09-17,4509.54,4605.69,4479.45,4560.99,47.44,886.94,0.75
801080,电子元器件,2020-09-16,4557.90,4581.22,4499.48,4526.92,45.90,774.35,-1.02
801080,电子元器件,2020-09-15,4559.25,4595.90,4514.88,4573.48,48.06,851.91,-0.02
801080,电子元器件,2020-09-14,4533.31,4603.71,4524.67,4574.61,54.16,950.81,1.51
801080,电子元器件,2020-09-11,4361.71,4508.84,4360.10,4506.47,51.92,853.52,3.06
801080,电子元器件,2020-09-10,4507.70,4509.27,4363.06,4372.63,65.35,955.33,-1.88
