index_code,index_name,date,open,high,low,close,vol,amount,change_pct
801120,食品饮料,2020-12-31,28272.88,28778.78,28272.88,28773.45,18.41,622.75,1.82
801120,食品饮料,2020-12-30,27491.71,28259.21,27491.64,28259.21,18.44,581.73,2.76
801120,食品饮料,2020-12-29,27754.58,27833.27,27323.96,27500.41,18.19,551.31,-0.69
801120,食品饮料,2020-12-28,26971.33,27758.59,26971.33,27692.24,19.85,614.74,2.80
801120,食品饮料,2020-12-25,26639.17,27124.98,26599.11,26937.91,19.75,522.45,0.01
801120,食品饮料,2020-12-24,27096.84,27334.38,26808.98,26935.97,19.29,569.19,-1.77
801120,食品饮料,2020-12-23,27754.93,28179.63,27011.17,27421.13,31.30,918.14,-0.67
801120,食品饮料,2020-12-22,27371.17,27975.70,27360.18,27607.41,25.53,706.67,0.89
801120,食品饮料,2020-12-21,27044.08,27479.78,26959.92,27364.58,20.20,604.39,0.89
801120,食品饮料,2020-12-18,27156.79,27489.14,26898.99,27123.02,20.55,642.47,-0.99
801120,食品饮料,2020-12-17,27125.23,27524.00,27079.65,27394.88,24.42,714.28,1.18
801120,食品饮料,2020-12-16,26653.86,27160.47,26653.83,27075.37,23.81,639.38,1.79
801120,食品饮料,2020-12-15,26717.18,26717.18,26269.15,26598.56,17.49,564.80,-0.29
801120,食品饮料,2020-12-14,26223.64,26685.15,26223.64,26676.45,17.11,550.83,2.18
801120,食品饮料,2020-12-11,26260.03,26337.08,25897.24,26107.23,15.00,511.03,-0.46
801120,食品饮料,2020-12-10,26077.97,26519.05,26071.48,26229.05,16.06,506.12,0.15
801120,食品饮料,2020-12-09,26444.83,26506.98,26187.35,26190.89,15.72,484.17,-0.54
801120,食品饮料,2020-12-08,26041.10,26526.30,25987.94,26333.24,16.35,545.26,1.32
801120,食品饮料,2020-12-07,25859.96,26271.31,25859.94,25990.52,15.26,558.08,0.74
801120,食品饮料,2020-12-04,25058.96,25872.08,25058.94,25800.35,15.22,582.95,3.05
801120,食品饮料,2020-12-03,24806.59,25076.58,24771.94,25037.35,10.15,333.57,0.92
801120,食品饮料,2020-12-02,24861.01,24934.72,24628.41,24808.13,10.70,337.05,0.24
801120,食品饮料,2020-12-01,24475.73,24774.73,24463.46,24749.02,10.38,375.12,1.48
801120,食品饮料,2020-11-30,24854.97,24855.18,24387.01,24387.01,11.64,443.03,-2.00
801120,食品饮料,2020-11-27,24783.38,24896.56,24566.61,24885.45,10.86,321.46,0.41
801120,食品饮料,2020-11-26,24689.83,24926.73,24436.25,24784.80,11.90,389.31,0.11
801120,食品饮料,2020-11-25,25483.79,25483.79,24755.92,24758.14,14.41,444.81,-2.91
801120,食品饮料,2020-11-24,25546.38,25546.38,25154.37,25500.04,16.66,458.55,-0.56
801120,食品饮料,2020-11-23,25574.46,25896.51,25558.96,25644.88,17.28,572.35,1.51
801120,食品饮料,2020-11-20,25033.98,25405.01,24986.73,25264.24,17.58,445.09,1.08
801120,食品饮料,2020-11-19,24595.96,25082.24,24502.05,24994.28,14.99,408.60,1.08
801120,食品饮料,2020-11-18,24904.74,24984.37,24476.12,24726.29,13.89,452.26,-0.93
801120,食品饮料,2020-11-17,25228.10,25277.96,24755.58,24958.39,16.07,489.60,-0.99
801120,食品饮料,2020-11-16,24763.72,25207.32,24613.08,25207.32,14.34,463.80,2.12
801120,食品饮料,2020-11-13,25014.59,25014.59,24385.11,24684.17,15.56,453.87,-2.15
801120,食品饮料,2020-11-12,25046.65,25302.81,24931.37,25225.71,16.67,481.74,0.53
801120,食品饮料,2020-11-11,25109.83,25693.76,25085.41,25092.46,13.80,500.86,-0.27
801120,食品饮料,2020-11-10,25063.96,25401.21,24818.86,25160.81,11.82,461.44,0.59
801120,食品饮料,2020-11-09,24620.94,25056.26,24620.85,25013.30,11.58,446.30,1.98
801120,食品饮料,2020-11-06,24802.83,24802.83,24281.87,24527.81,10.52,372.17,-0.83
801120,食品饮料,2020-11-05,24536.78,24815.42,24536.47,24733.64,12.32,427.91,1.69
801120,食品饮料,2020-11-04,24192.02,24323.09,24041.31,24323.04,8.59,305.02,0.61
801120,食品饮料,2020-11-03,23982.94,24231.66,23916.93,24176.60,10.85,401.26,1.31
801120,食品饮料,2020-11-02,23853.55,24104.51,23802.24,23863.43,11.43,418.10,0.10
801120,食品饮料,2020-10-30,24322.98,24322.98,23787.91,23838.89,11.58,471.84,-2.92
801120,食品饮料,2020-10-29,23971.98,24771.24,23971.98,24556.99,10.72,513.65,1.94
801120,食品饮料,2020-10-28,23558.53,24207.83,23533.05,24088.81,9.76,414.81,2.58
801120,食品饮料,2020-10-27,23425.65,23633.98,23328.30,23482.76,7.15,336.87,0.20
801120,食品饮料,2020-10-26,23124.40,23507.78,22951.11,23435.03,8.10,387.34,-1.71
801120,食品饮料,2020-10-23,24370.02,24419.75,23811.76,23843.18,10.11,360.26,-2.38
801120,食品饮料,2020-10-22,24320.16,24483.72,23968.85,24425.64,8.29,336.75,0.53
801120,食品饮料,2020-10-21,24311.17,24439.60,24126.68,24297.67,6.64,272.02,0.11
801120,食品饮料,2020-10-20,23654.72,24271.89,23600.48,24271.89,6.91,320.39,2.68
801120,食品饮料,2020-10-19,24106.83,24168.42,23567.85,23638.93,6.14,256.20,-1.31
801120,食品饮料,2020-10-16,24148.65,24287.48,23862.50,23952.75,5.66,236.19,-0.77
801120,食品饮料,2020-10-15,24208.31,24271.74,24117.31,24138.49,6.32,237.38,-0.31
801120,食品饮料,2020-10-14,24291.08,24477.98,24174.02,24212.99,7.41,313.42,-0.44
801120,食品饮料,2020-10-13,24266.16,24393.81,24170.04,24318.94,7.30,324.92,0.16
801120,食品饮料,2020-10-12,23452.60,24280.41,23452.60,24280.41,9.20,439.95,3.95
801120,食品饮料,2020-10-09,23244.01,23515.49,23116.48,23358.69,7.35,309.43,2.07
801120,食品饮料,2020-09-30,22812.96,23206.31,22769.11,22885.93,6.40,259.06,0.81
801120,食品饮料,2020-09-29,22830.56,22841.26,22620.39,22702.12,5.58,201.59,0.09
801120,食品饮料,2020-09-28,22606.30,22857.14,22561.99,22682.41,5.97,238.05,0.87
801120,食品饮料,2020-09-25,22486.44,22651.25,22446.01,22487.36,5.84,204.30,0.34
801120,食品饮料,2020-09-24,22646.85,22844.17,22403.30,22411.95,7.12,265.21,-1.60
801120,食品饮料,2020-09-23,22562.31,22844.35,22392.50,22777.04,6.28,293.09,-0.25
801120,食品饮料,2020-09-22,22724.17,23105.12,22724.17,22834.08,6.48,228.57,-0.38
801120,食品饮料,2020-09-21,23240.21,23240.90,22903.67,22922.15,6.31,238.36,-1.64
801120,食品饮料,2020-09-18,22867.53,23305.35,22698.75,23305.35,7.57,323.78,1.70
801120,食品饮料,2020-09-17,23186.48,23186.56,22673.46,22915.54,8.74,402.45,-2.24
801120,食品饮料,2020-09-16,23850.73,23934.97,23357.48,23440.72,7.45,276.68,-1.75
801120,食品饮料,2020-09-15,23732.94,23866.61,23597.38,23859.44,7.87,282.85,0.56
801120,食品饮料,2020-09-14,23723.93,23798.14,23445.95,23726.21,8.69,343.40,0.90
801120,食品饮料,2020-09-11,22991.13,23538.95,22991.02,23515.16,8.76,327.98,1.78
801120,食品饮料,2020-09-10,23161.92,23469.04,23053.16,23104.80,10.83,342.38,0.99
801120,食品饮料,2020-09-09,23174.89,23234.34,22754.43,22878.30,11.86,357.48,-2.54
801120,食品饮料,2020-09-08,23810.65,23921.87,23158.31,23475.46,12.67,466.83,-1.23
801120,食品饮料,2020-09-07,24356.77,24583.87,23635.27,23766.90,14.29,485.37,-2.72
801120,食品饮料,2020-09-04,24530.68,24547.00,24111.81,24432.12,15.04,536.03,-2.58
801120,食品饮料,2020-09-03,25141.49,25675.39,24916.56,25079.33,16.11,581.94,-0.21
801120,食品饮料,2020-09-02,25277.19,25373.40,24871.40,25132.59,13.89,451.24,0.06
801120,食品饮料,2020-09-01,25108.06,25161.12,24751.12,25116.80,15.45,500.40,-0.33
801120,食品饮料,2020-08-31,25108.57,25627.06,25108.57,25199.64,18.00,649.66,1.09
801120,食品饮料,2020-08-28,24289.88,24997.57,24193.34,24926.93,17.05,612.63,2.76
801120,食品饮料,2020-08-27,24000.92,24259.90,23802.36,24256.84,14.41,436.28,1.47
801120,食品饮料,2020-08-26,23902.69,24174.84,23703.22,23905.06,17.59,481.96,0.06
801120,食品饮料,2020-08-25,23446.39,24063.57,23446.39,23889.86,18.41,531.23,2.00
801120,食品饮料,2020-08-24,23314.15,23555.55,23138.93,23422.24,17.54,464.30,1.23
801120,食品饮料,2020-08-21,22940.28,23321.74,22936.81,23138.28,17.26,438.20,1.77
801120,食品饮料,2020-08-20,22980.62,23013.52,22650.91,22735.76,15.45,388.57,-1.76
801120,食品饮料,2020-08-19,23074.36,23499.82,22975.95,23143.04,20.36,498.73,0.09
801120,食品饮料,2020-08-18,22803.42,23285.36,22725.78,23121.14,16.29,459.20,1.40
801120,食品饮料,2020-08-17,22516.01,22872.53,22516.01,22801.45,13.88,484.18,1.90
801120,食品饮料,2020-08-14,21930.15,22399.06,21912.83,22376.67,10.90,383.74,2.15
801120,食品饮料,2020-08-13,21937.84,22021.13,21722.09,21904.94,11.61,286.23,0.25
801120,食品饮料,2020-08-12,22129.52,22129.66,21501.21,21849.50,12.38,369.95,-1.57
801120,食品饮料,2020-08-11,22160.65,22579.27,22160.65,22197.24,14.12,423.60,0.58
801120,食品饮料,2020-08-10,21995.77,22177.53,21731.05,22069.85,11.88,327.03,0.27
801120,食品饮料,2020-08-07,22197.83,22343.78,21652.06,22011.27,12.81,390.38,-0.86
801120,食品饮料,2020-08-06,22626.18,22655.52,22076.24,22201.77,13.41,394.94,-1.91
801120,食品饮料,2020-08-05,22424.35,22633.65,22319.60,22633.65,14.24,359.42,0.53
801120,食品饮料,2020-08-04,22675.22,22808.23,22423.98,22515.34,14.15,387.46,-0.35
801120,食品饮料,2020-08-03,22611.03,22747.01,22421.71,22593.94,14.13,399.01,0.46
801120,食品饮料,2020-07-31,22421.77,22731.78,22098.06,22491.48,13.17,410.61,0.33
801120,食品饮料,2020-07-30,22321.47,22624.70,22302.98,22418.48,14.29,420.04,0.40
801120,食品饮料,2020-07-29,22257.94,22340.62,21818.05,22329.98,13.97,436.11,0.69
801120,食品饮料,2020-07-28,21560.22,22362.58,21560.16,22176.90,16.06,500.14,3.37
801120,食品饮料,2020-07-27,21339.21,21578.74,21239.83,21453.33,12.14,356.59,1.41
801120,食品饮料,2020-07-24,22000.27,22000.27,21009.05,21155.58,16.63,539.07,-4.67
801120,食品饮料,2020-07-23,21985.45,22335.98,21733.35,22193.08,13.98,409.34,0.28
801120,食品饮料,2020-07-22,21664.47,22419.19,21622.32,22130.83,14.84,434.34,1.48
801120,食品饮料,2020-07-21,21393.17,22047.78,21249.64,21807.22,13.90,431.97,2.07
801120,食品饮料,2020-07-20,21607.28,21607.28,20673.55,21365.92,15.81,503.09,-0.72
801120,食品饮料,2020-07-17,20918.18,21796.01,20918.18,21521.18,14.51,554.70,1.76
801120,食品饮料,2020-07-16,22792.02,22792.02,21100.52,21149.77,20.57,788.51,-8.14
801120,食品饮料,2020-07-15,22687.11,23257.29,22687.11,23024.98,19.98,606.74,1.14
801120,食品饮料,2020-07-14,22832.52,22993.98,22367.50,22766.08,18.99,595.22,-0.28
801120,食品饮料,2020-07-13,21928.90,22871.61,21928.90,22831.03,20.65,668.84,3.92
801120,食品饮料,2020-07-10,21676.29,22276.66,21663.25,21970.59,18.37,523.39,0.76
801120,食品饮料,2020-07-09,21543.93,21804.04,21503.87,21804.04,19.10,501.38,1.32
801120,食品饮料,2020-07-08,21349.42,21674.17,21299.94,21520.92,17.33,512.04,0.46
801120,食品饮料,2020-07-07,20727.13,21886.34,20718.21,21422.13,22.24,642.51,3.52
801120,食品饮料,2020-07-06,20092.95,20778.83,20046.11,20692.89,19.80,577.68,2.84
801120,食品饮料,2020-07-03,20309.26,20309.26,19773.16,20121.10,16.96,506.66,-0.61
801120,食品饮料,2020-07-02,19840.03,20367.88,19829.98,20243.70,17.00,572.12,2.11
801120,食品饮料,2020-07-01,19220.32,19905.25,19124.88,19824.63,14.96,469.99,3.38
801120,食品饮料,2020-06-30,19028.46,19205.59,19002.72,19176.57,11.52,319.69,1.14
801120,食品饮料,2020-06-29,18805.59,18961.96,18746.93,18960.81,10.70,314.33,0.26
801120,食品饮料,2020-06-24,18931.91,19040.16,18783.42,18911.92,11.27,330.35,-0.28
801120,食品饮料,2020-06-23,18488.87,18975.03,18470.26,18965.08,11.77,357.41,2.50
801120,食品饮料,2020-06-22,18605.37,18606.77,18424.58,18503.19,10.83,295.73,-0.68
801120,食品饮料,2020-06-19,18244.63,18711.66,18244.62,18629.84,11.68,361.65,2.38
801120,食品饮料,2020-06-18,18169.75,18223.18,18070.80,18197.08,10.09,236.52,0.28
801120,食品饮料,2020-06-17,18213.44,18213.44,17981.62,18146.00,11.89,275.28,-0.14
801120,食品饮料,2020-06-16,18036.83,18221.07,18036.83,18170.60,11.75,316.57,1.49
801120,食品饮料,2020-06-15,18042.64,18169.05,17870.40,17903.21,13.40,344.73,-1.65
801120,食品饮料,2020-06-12,17775.67,18229.10,17775.67,18204.03,9.84,265.24,0.86
801120,食品饮料,2020-06-11,18277.06,18336.32,17936.24,18048.49,11.80,297.25,-1.65
801120,食品饮料,2020-06-10,18327.26,18399.00,18265.75,18350.41,10.34,254.14,0.05
801120,食品饮料,2020-06-09,18216.24,18379.84,18176.31,18341.19,11.71,290.65,0.90
801120,食品饮料,2020-06-08,18231.92,18442.38,18107.05,18178.08,13.60,351.78,-0.15
801120,食品饮料,2020-06-05,18101.72,18215.73,17957.15,18205.99,15.43,310.86,0.47
801120,食品饮料,2020-06-04,17910.10,18120.99,17910.10,18120.99,18.08,313.20,1.23
801120,食品饮料,2020-06-03,18058.33,18058.42,17852.84,17900.85,13.00,290.13,-0.59
801120,食品饮料,2020-06-02,18200.69,18261.45,17954.28,18007.08,16.54,368.22,-1.18
801120,食品饮料,2020-06-01,17820.33,18280.78,17820.33,18222.96,17.67,394.62,3.19
801120,食品饮料,2020-05-29,17300.60,17675.12,17300.55,17659.54,13.72,289.12,1.56
801120,食品饮料,2020-05-28,17370.95,17480.91,17194.96,17388.77,15.27,286.54,0.03
801120,食品饮料,2020-05-27,17550.26,17550.26,17344.86,17383.80,16.49,295.13,-0.90
801120,食品饮料,2020-05-26,17485.03,17583.14,17364.13,17542.37,13.97,279.70,0.65
801120,食品饮料,2020-05-25,17023.45,17428.87,16851.72,17428.87,14.33,310.88,2.62
801120,食品饮料,2020-05-22,17477.77,17477.77,16947.15,16984.71,13.06,316.97,-3.11
801120,食品饮料,2020-05-21,17474.93,17659.78,17451.30,17530.47,13.05,273.82,0.63
801120,食品饮料,2020-05-20,17522.40,17586.75,17371.92,17420.41,14.88,281.45,-0.62
801120,食品饮料,2020-05-19,17611.55,17611.55,17422.63,17529.86,15.82,306.07,0.49
801120,食品饮料,2020-05-18,16951.45,17537.81,16951.45,17444.03,17.64,361.88,2.60
801120,食品饮料,2020-05-15,17198.01,17212.16,16888.38,17001.66,12.91,273.17,-0.82
801120,食品饮料,2020-05-14,17195.46,17197.22,17119.17,17141.43,14.27,280.07,-0.68
801120,食品饮料,2020-05-13,16959.89,17273.22,16892.79,17259.13,16.59,328.47,1.70
801120,食品饮料,2020-05-12,16754.51,17000.81,16754.51,16970.29,12.03,254.89,1.08
801120,食品饮料,2020-05-11,16873.28,17016.50,16726.09,16788.88,11.88,273.20,-0.27
801120,食品饮料,2020-05-08,16753.80,17000.14,16656.03,16835.06,13.55,305.16,0.82
801120,食品饮料,2020-05-07,16495.84,16754.76,16427.90,16698.83,14.55,303.31,1.27
801120,食品饮料,2020-05-06,16022.06,16489.76,16022.06,16489.76,12.08,295.01,1.85
801120,食品饮料,2020-04-30,16240.55,16331.96,16109.35,16190.67,11.55,278.92,-0.43
801120,食品饮料,2020-04-29,16496.67,16571.63,16141.77,16261.25,13.98,340.07,-1.99
801120,食品饮料,2020-04-28,16416.44,16706.08,16229.44,16591.43,15.73,364.12,1.68
801120,食品饮料,2020-04-27,16259.72,16335.05,16102.09,16316.88,12.81,256.27,0.62
801120,食品饮料,2020-04-24,16201.51,16312.98,16066.80,16217.14,16.72,275.29,0.21
801120,食品饮料,2020-04-23,16149.33,16380.24,16149.33,16183.21,20.69,319.36,0.53
801120,食品饮料,2020-04-22,15609.35,16111.83,15589.29,16098.32,18.00,327.25,3.11
801120,食品饮料,2020-04-21,15793.13,15793.16,15504.94,15612.88,12.84,235.09,-1.62
