,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801150,医药生物,2020-12-31,11949.56,12093.71,11914.60,12077.43,26.50,756.29,1.13
1,801150,医药生物,2020-12-30,11786.32,11960.88,11777.38,11942.34,22.91,607.52,1.21
2,801150,医药生物,2020-12-29,11908.08,11939.63,11741.03,11800.10,25.62,621.84,-1.00
3,801150,医药生物,2020-12-28,12080.59,12080.59,11905.18,11919.00,29.89,750.97,-0.99
4,801150,医药生物,2020-12-25,11831.06,12051.58,11825.83,12037.96,23.72,643.00,1.52
5,801150,医药生物,2020-12-24,11938.11,11999.77,11837.64,11857.72,29.40,703.12,-0.68
6,801150,医药生物,2020-12-23,12007.08,12007.11,11810.45,11938.46,30.99,796.74,-0.56
7,801150,医药生物,2020-12-22,12060.92,12238.13,11992.72,12005.29,39.51,971.66,-0.46
8,801150,医药生物,2020-12-21,11911.31,12070.81,11835.79,12060.56,27.28,745.85,1.28
9,801150,医药生物,2020-12-18,11995.61,12012.27,11877.82,11907.55,27.54,738.07,-0.72
10,801150,医药生物,2020-12-17,11853.96,12051.17,11853.94,11994.25,31.01,916.35,2.07
11,801150,医药生物,2020-12-16,11754.00,11791.52,11639.81,11750.59,25.11,667.13,0.07
12,801150,医药生物,2020-12-15,11536.44,11822.14,11536.43,11742.54,27.44,795.61,1.64
13,801150,医药生物,2020-12-14,11417.40,11554.01,11341.58,11553.59,25.06,649.94,1.15
14,801150,医药生物,2020-12-11,11534.48,11575.50,11351.76,11422.07,31.96,837.97,-0.76
15,801150,医药生物,2020-12-10,11349.12,11528.83,11318.54,11509.43,24.29,667.43,1.03
16,801150,医药生物,2020-12-09,11577.86,11596.53,11391.97,11392.18,25.13,648.35,-1.38
17,801150,医药生物,2020-12-08,11585.48,11628.57,11537.77,11551.50,21.97,570.17,-0.14
18,801150,医药生物,2020-12-07,11597.71,11634.43,11518.74,11567.38,28.36,727.62,-0.89
19,801150,医药生物,2020-12-04,11518.21,11673.64,11511.07,11671.55,25.74,675.56,1.16
20,801150,医药生物,2020-12-03,11299.56,11601.29,11299.55,11537.74,30.69,806.56,2.20
21,801150,医药生物,2020-12-02,11318.05,11324.77,11204.16,11289.27,21.23,543.22,-0.10
22,801150,医药生物,2020-12-01,11038.83,11306.80,11038.83,11300.21,25.13,693.04,2.47
23,801150,医药生物,2020-11-30,11019.63,11095.82,10891.16,11027.79,23.11,596.14,0.14
24,801150,医药生物,2020-11-27,10976.38,11060.79,10888.15,11012.48,18.85,436.92,0.47
25,801150,医药生物,2020-11-26,11008.39,11088.16,10899.26,10960.81,20.34,498.04,-0.34
26,801150,医药生物,2020-11-25,11228.34,11228.34,10998.51,10998.51,26.52,680.48,-2.09
27,801150,医药生物,2020-11-24,11316.24,11316.38,11185.24,11233.26,22.52,521.16,-0.85
28,801150,医药生物,2020-11-23,11380.03,11380.23,11255.05,11329.21,26.81,639.80,-0.12
29,801150,医药生物,2020-11-20,11298.00,11384.32,11298.00,11343.35,21.15,510.94,0.52
30,801150,医药生物,2020-11-19,11192.48,11301.10,11110.99,11284.71,21.99,545.48,0.66
31,801150,医药生物,2020-11-18,11357.52,11423.38,11184.82,11211.19,24.88,642.46,-1.17
32,801150,医药生物,2020-11-17,11574.80,11574.83,11288.17,11344.42,25.76,696.15,-2.25
33,801150,医药生物,2020-11-16,11559.65,11605.73,11460.80,11605.73,24.46,608.06,0.85
34,801150,医药生物,2020-11-13,11512.45,11519.84,11433.37,11507.51,21.23,556.85,-0.32
35,801150,医药生物,2020-11-12,11498.19,11628.73,11498.19,11544.72,23.32,636.80,0.76
36,801150,医药生物,2020-11-11,11686.15,11686.17,11446.41,11457.72,28.64,812.85,-2.30
37,801150,医药生物,2020-11-10,11951.48,11971.80,11683.93,11727.24,34.89,936.75,-1.34
38,801150,医药生物,2020-11-09,11688.42,11941.27,11679.29,11887.02,35.63,876.11,2.03
39,801150,医药生物,2020-11-06,11945.53,11945.53,11532.38,11650.76,31.14,839.03,-2.34
40,801150,医药生物,2020-11-05,11969.44,12013.14,11821.20,11930.09,29.30,724.27,0.37
41,801150,医药生物,2020-11-04,11881.69,11919.78,11796.28,11885.53,25.56,628.46,0.02
42,801150,医药生物,2020-11-03,11755.72,11893.35,11676.35,11883.35,26.10,634.45,1.39
43,801150,医药生物,2020-11-02,11816.11,11854.18,11638.83,11720.57,29.92,747.39,-0.77
44,801150,医药生物,2020-10-30,12093.10,12101.93,11769.65,11810.92,33.21,809.48,-2.20
45,801150,医药生物,2020-10-29,11747.89,12123.40,11747.89,12076.86,33.49,906.04,1.96
46,801150,医药生物,2020-10-28,11837.64,11871.75,11702.90,11844.27,26.14,660.87,0.26
47,801150,医药生物,2020-10-27,11583.19,11828.67,11566.76,11813.02,25.88,668.49,1.96
48,801150,医药生物,2020-10-26,11424.38,11610.70,11304.22,11586.49,21.35,576.41,0.84
49,801150,医药生物,2020-10-23,11858.91,11923.66,11448.39,11490.44,26.02,726.09,-3.02
50,801150,医药生物,2020-10-22,11980.59,11980.94,11748.51,11847.67,26.42,680.32,-1.48
51,801150,医药生物,2020-10-21,12115.95,12227.10,12006.37,12026.04,29.78,805.94,-0.41
52,801150,医药生物,2020-10-20,11939.47,12076.36,11858.23,12075.75,26.24,653.35,0.94
53,801150,医药生物,2020-10-19,12311.50,12311.50,11937.59,11963.46,34.96,848.52,-2.38
54,801150,医药生物,2020-10-16,12179.02,12262.26,12061.19,12254.87,33.35,782.14,0.64
55,801150,医药生物,2020-10-15,12297.76,12297.76,12131.95,12177.02,28.97,749.98,-1.09
56,801150,医药生物,2020-10-14,12333.20,12436.10,12283.17,12310.71,34.60,937.69,-0.38
57,801150,医药生物,2020-10-13,12229.42,12385.51,12179.11,12357.41,34.65,938.12,1.07
58,801150,医药生物,2020-10-12,11962.61,12227.19,11959.44,12227.19,37.23,959.90,3.00
59,801150,医药生物,2020-10-09,11728.55,11892.55,11728.18,11871.21,29.55,761.66,2.86
60,801150,医药生物,2020-09-30,11513.14,11662.83,11475.16,11541.14,23.49,591.22,0.72
61,801150,医药生物,2020-09-29,11396.74,11520.77,11259.77,11458.24,24.50,603.26,0.84
62,801150,医药生物,2020-09-28,11615.82,11615.82,11352.59,11363.13,26.97,621.93,-1.86
63,801150,医药生物,2020-09-25,11608.09,11763.77,11533.55,11578.50,28.74,726.51,0.04
64,801150,医药生物,2020-09-24,11707.45,11725.49,11546.29,11573.94,32.83,791.92,-1.79
65,801150,医药生物,2020-09-23,11512.72,11862.39,11452.46,11785.17,37.07,959.62,2.62
66,801150,医药生物,2020-09-22,11409.98,11657.99,11409.98,11483.80,35.46,782.70,0.21
67,801150,医药生物,2020-09-21,11533.60,11573.26,11431.78,11459.39,26.19,574.63,-0.52
68,801150,医药生物,2020-09-18,11373.18,11519.86,11283.62,11519.86,28.46,629.43,1.38
69,801150,医药生物,2020-09-17,11492.44,11492.46,11257.92,11362.96,26.96,635.61,-1.37
70,801150,医药生物,2020-09-16,11737.27,11787.39,11468.66,11520.96,28.24,647.68,-1.81
71,801150,医药生物,2020-09-15,11606.28,11736.16,11484.71,11733.15,28.80,671.26,1.18
72,801150,医药生物,2020-09-14,11759.93,11783.62,11525.21,11596.01,34.13,772.75,-0.52
73,801150,医药生物,2020-09-11,11394.11,11659.82,11394.11,11656.73,31.01,635.74,1.97
74,801150,医药生物,2020-09-10,11658.26,11762.37,11410.52,11431.37,40.83,763.31,-0.83
75,801150,医药生物,2020-09-09,11885.59,11885.66,11470.31,11526.67,47.24,924.97,-4.31
76,801150,医药生物,2020-09-08,12052.86,12112.60,11901.60,12045.82,40.34,769.56,0.26
77,801150,医药生物,2020-09-07,12393.81,12453.87,12000.24,12014.10,46.27,980.60,-3.27
78,801150,医药生物,2020-09-04,12386.63,12448.11,12258.42,12420.20,41.26,894.31,-1.54
79,801150,医药生物,2020-09-03,12646.58,12901.12,12563.58,12614.17,49.92,1034.62,-0.26
80,801150,医药生物,2020-09-02,12646.33,12668.20,12502.20,12646.75,39.22,847.17,0.30
81,801150,医药生物,2020-09-01,12587.11,12657.00,12527.47,12608.34,29.82,761.54,0.02
82,801150,医药生物,2020-08-31,12725.34,12779.43,12605.46,12605.46,39.26,996.78,-0.51
83,801150,医药生物,2020-08-28,12314.94,12681.22,12283.67,12670.42,42.26,1053.00,2.95
84,801150,医药生物,2020-08-27,12186.74,12307.69,12096.37,12307.69,33.98,787.44,1.08
85,801150,医药生物,2020-08-26,12262.22,12454.45,12135.53,12176.17,40.11,961.13,-0.63
86,801150,医药生物,2020-08-25,12250.42,12346.87,12220.92,12253.95,34.30,778.18,0.22
87,801150,医药生物,2020-08-24,12240.98,12260.53,11955.56,12226.82,32.16,831.82,0.40
88,801150,医药生物,2020-08-21,12161.66,12267.25,12095.64,12177.86,31.02,769.80,0.86
89,801150,医药生物,2020-08-20,12075.94,12199.62,11970.07,12074.16,33.08,800.21,-0.62
90,801150,医药生物,2020-08-19,12489.97,12489.97,12149.98,12149.98,41.83,1056.90,-2.76
91,801150,医药生物,2020-08-18,12361.51,12551.97,12361.51,12494.51,39.58,995.65,1.23
92,801150,医药生物,2020-08-17,12212.79,12342.95,12122.25,12342.95,38.60,947.02,1.37
93,801150,医药生物,2020-08-14,12091.69,12227.82,11923.43,12175.98,33.90,852.17,0.61
94,801150,医药生物,2020-08-13,12315.23,12315.23,12069.64,12101.58,38.50,966.88,-1.34
95,801150,医药生物,2020-08-12,12635.12,12665.58,12044.68,12266.42,48.62,1255.58,-3.02
96,801150,医药生物,2020-08-11,12846.14,13009.44,12638.51,12648.30,51.02,1224.76,-1.61
97,801150,医药生物,2020-08-10,12826.77,12953.13,12570.42,12855.04,53.92,1343.60,-0.16
98,801150,医药生物,2020-08-07,13065.54,13171.67,12610.53,12876.04,63.75,1595.34,-1.27
99,801150,医药生物,2020-08-06,13344.14,13472.71,12919.06,13042.17,62.18,1650.82,-2.11
100,801150,医药生物,2020-08-05,12987.80,13367.27,12890.96,13323.42,61.61,1539.83,1.36
101,801150,医药生物,2020-08-04,13256.68,13486.76,13087.08,13144.87,79.41,2019.19,-0.93
102,801150,医药生物,2020-08-03,13072.13,13270.76,12930.70,13268.01,77.20,1834.16,2.34
103,801150,医药生物,2020-07-31,12708.27,12975.60,12596.67,12964.33,72.58,1664.40,1.66
104,801150,医药生物,2020-07-30,12746.39,13076.00,12689.63,12753.17,75.96,1746.61,0.69
105,801150,医药生物,2020-07-29,12165.01,12669.28,12165.01,12666.26,58.00,1397.18,3.71
106,801150,医药生物,2020-07-28,12260.42,12270.68,11999.52,12213.07,44.12,1155.35,0.29
107,801150,医药生物,2020-07-27,12056.72,12269.97,12056.54,12178.03,45.49,1166.99,1.42
108,801150,医药生物,2020-07-24,12661.50,12661.53,11953.06,12007.92,66.79,1692.51,-5.85
109,801150,医药生物,2020-07-23,12358.52,12753.43,12349.49,12753.43,62.61,1531.37,2.36
110,801150,医药生物,2020-07-22,12257.45,12578.50,12204.78,12459.04,48.30,1207.11,1.25
111,801150,医药生物,2020-07-21,11930.73,12328.84,11901.38,12305.56,48.14,1179.40,3.28
112,801150,医药生物,2020-07-20,12011.51,12049.30,11629.49,11914.94,46.14,1143.51,0.02
113,801150,医药生物,2020-07-17,11742.65,12079.88,11693.84,11912.48,47.20,1175.33,1.22
114,801150,医药生物,2020-07-16,12607.82,12607.94,11751.79,11769.07,70.28,1647.55,-6.64
115,801150,医药生物,2020-07-15,12551.48,12914.90,12527.90,12605.97,75.90,1752.74,0.75
116,801150,医药生物,2020-07-14,12620.34,12671.29,12268.35,12512.35,79.25,1717.58,-0.44
117,801150,医药生物,2020-07-13,12184.45,12568.16,12184.45,12568.16,77.72,1642.53,3.76
118,801150,医药生物,2020-07-10,11953.40,12226.98,11938.80,12112.54,77.00,1528.19,1.34
119,801150,医药生物,2020-07-09,11543.04,11983.75,11539.49,11952.57,76.75,1541.95,3.50
120,801150,医药生物,2020-07-08,11521.01,11567.20,11411.25,11548.54,61.71,1249.17,0.46
121,801150,医药生物,2020-07-07,11224.37,11599.40,11141.01,11495.44,72.62,1513.63,2.20
122,801150,医药生物,2020-07-06,11170.48,11259.99,11071.33,11247.95,67.11,1413.41,0.71
123,801150,医药生物,2020-07-03,11010.16,11168.60,10909.05,11168.60,49.91,1126.85,1.26
