,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801180,房地产,2020-12-31,3777.18,3826.41,3772.80,3826.41,17.95,126.34,1.15
1,801180,房地产,2020-12-30,3791.06,3796.88,3772.90,3782.95,13.65,102.21,-0.34
2,801180,房地产,2020-12-29,3774.27,3816.40,3774.25,3795.97,13.59,102.96,0.81
3,801180,房地产,2020-12-28,3777.80,3788.62,3745.63,3765.58,14.42,110.66,-0.42
4,801180,房地产,2020-12-25,3769.07,3792.43,3747.67,3781.34,12.83,86.43,0.30
5,801180,房地产,2020-12-24,3812.31,3823.34,3759.04,3770.08,15.66,107.06,-1.12
6,801180,房地产,2020-12-23,3830.74,3831.63,3793.93,3812.70,15.89,124.23,-0.47
7,801180,房地产,2020-12-22,3857.94,3885.93,3824.76,3830.73,16.02,118.45,-1.02
8,801180,房地产,2020-12-21,3875.39,3891.00,3842.17,3870.05,13.82,105.32,-0.42
9,801180,房地产,2020-12-18,3912.74,3923.33,3880.71,3886.36,12.83,96.74,-0.73
10,801180,房地产,2020-12-17,3886.52,3918.22,3856.07,3914.94,14.66,98.46,0.63
11,801180,房地产,2020-12-16,3908.90,3912.09,3872.28,3890.43,12.58,86.30,-0.37
12,801180,房地产,2020-12-15,3935.68,3935.75,3889.48,3904.76,14.40,96.92,-1.00
13,801180,房地产,2020-12-14,3914.68,3944.78,3906.23,3944.25,16.67,116.28,1.15
14,801180,房地产,2020-12-11,3950.37,3950.37,3874.90,3899.51,18.80,123.71,-1.09
15,801180,房地产,2020-12-10,3951.78,3957.48,3931.98,3942.62,13.15,96.55,-0.22
16,801180,房地产,2020-12-09,4021.25,4021.25,3951.31,3951.31,15.04,108.13,-1.53
17,801180,房地产,2020-12-08,4036.13,4044.23,4009.53,4012.81,12.53,92.07,-0.50
18,801180,房地产,2020-12-07,4096.55,4096.60,4029.39,4032.95,15.29,116.11,-1.49
19,801180,房地产,2020-12-04,4150.78,4150.80,4084.14,4094.11,14.65,116.79,-1.33
20,801180,房地产,2020-12-03,4182.19,4182.22,4128.43,4149.30,17.33,122.41,-0.59
21,801180,房地产,2020-12-02,4150.99,4229.49,4135.47,4174.02,24.42,182.07,0.76
22,801180,房地产,2020-12-01,4117.57,4145.90,4059.42,4142.51,23.69,169.14,0.53
23,801180,房地产,2020-11-30,4169.37,4243.36,4120.78,4120.78,24.41,208.36,-0.92
24,801180,房地产,2020-11-27,4101.05,4169.16,4101.05,4159.20,17.34,138.36,1.78
25,801180,房地产,2020-11-26,4092.41,4092.96,4043.30,4086.26,14.86,106.72,-0.21
26,801180,房地产,2020-11-25,4134.21,4157.62,4094.68,4094.68,19.27,134.86,-0.55
27,801180,房地产,2020-11-24,4137.01,4155.29,4106.28,4117.37,15.62,115.11,-0.59
28,801180,房地产,2020-11-23,4121.20,4165.15,4103.48,4141.61,18.34,137.33,0.42
29,801180,房地产,2020-11-20,4136.76,4136.85,4089.78,4124.10,14.57,106.10,-0.33
30,801180,房地产,2020-11-19,4130.05,4150.06,4115.52,4137.61,17.42,138.35,0.02
31,801180,房地产,2020-11-18,4097.80,4164.23,4066.39,4136.74,22.76,191.87,0.96
32,801180,房地产,2020-11-17,4021.74,4115.05,4019.95,4097.26,23.03,189.85,1.92
33,801180,房地产,2020-11-16,3998.02,4020.01,3988.28,4020.01,14.89,113.44,0.88
34,801180,房地产,2020-11-13,4038.18,4038.36,3967.48,3985.09,15.18,121.60,-1.70
35,801180,房地产,2020-11-12,4073.28,4073.28,4034.21,4053.92,15.71,123.56,-0.53
36,801180,房地产,2020-11-11,4039.72,4101.78,4035.75,4075.50,17.67,153.06,0.84
37,801180,房地产,2020-11-10,4077.27,4101.11,4029.34,4041.49,16.88,139.14,-0.52
