,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801210,餐饮旅游,2020-12-31,11811.21,12390.80,11779.76,12304.75,2.51,66.09,6.11
1,801210,餐饮旅游,2020-12-30,11305.47,11674.56,11305.09,11596.25,1.64,44.87,1.99
2,801210,餐饮旅游,2020-12-29,11356.79,11465.67,11187.60,11369.82,1.90,44.17,-0.23
3,801210,餐饮旅游,2020-12-28,11642.86,11642.86,11307.90,11396.49,2.39,49.87,-1.11
4,801210,餐饮旅游,2020-12-25,11231.87,11578.72,11135.75,11524.42,2.12,44.51,1.84
5,801210,餐饮旅游,2020-12-24,11395.02,11655.49,11245.06,11315.95,2.53,53.84,0.92
6,801210,餐饮旅游,2020-12-23,10915.52,11481.90,10915.52,11212.47,2.61,66.00,2.71
7,801210,餐饮旅游,2020-12-22,10756.05,11211.27,10725.72,10916.41,3.02,68.44,1.37
8,801210,餐饮旅游,2020-12-21,10432.43,10791.06,10416.11,10768.58,2.43,53.30,3.21
9,801210,餐饮旅游,2020-12-18,10677.41,10716.43,10418.77,10433.68,2.53,49.00,-3.13
10,801210,餐饮旅游,2020-12-17,10636.66,10780.57,10605.75,10771.15,2.88,51.97,1.24
11,801210,餐饮旅游,2020-12-16,10553.29,10697.16,10475.51,10639.26,3.17,47.36,1.38
12,801210,餐饮旅游,2020-12-15,10365.48,10557.67,10330.45,10494.10,2.08,47.69,1.27
13,801210,餐饮旅游,2020-12-14,10048.54,10408.12,9969.49,10362.28,2.70,58.96,3.05
14,801210,餐饮旅游,2020-12-11,10273.00,10273.43,9947.59,10055.74,1.98,40.92,-1.17
15,801210,餐饮旅游,2020-12-10,10052.87,10243.74,9991.83,10175.18,1.54,36.76,1.64
16,801210,餐饮旅游,2020-12-09,10259.76,10280.88,10011.43,10011.43,1.67,33.33,-2.43
17,801210,餐饮旅游,2020-12-08,10318.91,10318.91,10145.93,10260.96,1.70,39.67,-0.13
18,801210,餐饮旅游,2020-12-07,9959.45,10304.90,9895.88,10274.74,1.67,53.02,3.26
19,801210,餐饮旅游,2020-12-04,9849.18,9972.24,9810.58,9950.10,1.56,32.55,0.53
20,801210,餐饮旅游,2020-12-03,9879.40,9983.95,9867.93,9897.17,1.83,33.06,-0.18
21,801210,餐饮旅游,2020-12-02,9966.71,10035.80,9892.08,9914.78,2.21,38.04,-0.32
22,801210,餐饮旅游,2020-12-01,9857.72,10022.80,9848.77,9947.05,2.10,41.31,1.03
23,801210,餐饮旅游,2020-11-30,9811.37,9989.79,9811.29,9845.27,2.12,46.81,-0.54
24,801210,餐饮旅游,2020-11-27,9760.15,9906.57,9687.88,9898.61,2.38,42.51,1.11
25,801210,餐饮旅游,2020-11-26,9723.73,9981.95,9710.19,9789.55,1.99,42.91,0.76
26,801210,餐饮旅游,2020-11-25,9952.11,9979.00,9715.28,9715.28,2.28,41.75,-1.67
27,801210,餐饮旅游,2020-11-24,9716.43,9977.52,9628.65,9880.22,2.11,51.23,2.11
28,801210,餐饮旅游,2020-11-23,9658.71,9770.46,9483.05,9676.09,2.55,55.25,0.08
