index_code,index_name,date,open,high,low,close,vol,amount,change_pct
801710,建筑材料,2020-12-31,7706.29,7819.99,7706.01,7818.18,9.03,114.51,2.18
801710,建筑材料,2020-12-30,7662.76,7702.53,7618.75,7651.24,8.19,103.81,-0.12
801710,建筑材料,2020-12-29,7639.42,7723.38,7579.89,7660.07,9.62,123.82,0.31
801710,建筑材料,2020-12-28,7737.09,7737.09,7619.33,7636.69,9.55,126.86,-1.28
801710,建筑材料,2020-12-25,7672.69,7740.53,7640.99,7735.33,9.07,108.82,0.65
801710,建筑材料,2020-12-24,7676.77,7739.74,7639.98,7685.34,10.15,123.00,0.18
801710,建筑材料,2020-12-23,7678.53,7720.29,7635.57,7671.69,10.56,134.98,0.11
801710,建筑材料,2020-12-22,7789.48,7803.30,7660.40,7663.33,10.61,133.44,-1.81
801710,建筑材料,2020-12-21,7750.33,7821.03,7711.09,7804.45,10.06,119.48,0.36
801710,建筑材料,2020-12-18,7765.13,7812.72,7741.23,7776.84,9.43,105.19,0.15
801710,建筑材料,2020-12-17,7725.72,7768.28,7608.60,7765.34,11.29,122.80,0.26
801710,建筑材料,2020-12-16,7788.56,7812.07,7738.35,7745.08,10.73,115.15,-0.77
801710,建筑材料,2020-12-15,7737.29,7806.98,7673.73,7804.89,11.60,125.99,1.04
801710,建筑材料,2020-12-14,7698.61,7727.07,7668.16,7724.39,8.33,102.29,0.46
801710,建筑材料,2020-12-11,7760.89,7803.47,7620.11,7688.82,9.76,104.83,-0.77
801710,建筑材料,2020-12-10,7716.78,7767.19,7701.74,7748.20,7.65,86.15,0.23
801710,建筑材料,2020-12-09,7876.23,7879.13,7730.30,7730.56,7.76,94.28,-1.77
801710,建筑材料,2020-12-08,7915.55,7959.51,7854.04,7869.72,6.43,81.08,-0.62
801710,建筑材料,2020-12-07,7992.70,7995.94,7910.44,7919.10,8.21,107.42,-0.91
801710,建筑材料,2020-12-04,7955.94,7992.17,7903.93,7992.17,7.05,82.65,0.40
801710,建筑材料,2020-12-03,8031.31,8031.31,7928.23,7960.12,7.34,91.21,-0.87
801710,建筑材料,2020-12-02,8046.85,8053.42,7983.96,8030.27,8.27,96.97,-0.03
801710,建筑材料,2020-12-01,7939.86,8042.94,7902.54,8032.31,8.68,105.86,0.82
801710,建筑材料,2020-11-30,8002.55,8033.55,7950.63,7966.83,8.10,114.57,-0.25
801710,建筑材料,2020-11-27,8010.68,8018.49,7895.89,7987.03,7.09,88.26,-0.12
801710,建筑材料,2020-11-26,8068.75,8071.49,7901.99,7996.89,7.52,102.38,-1.00
801710,建筑材料,2020-11-25,8309.59,8312.32,8077.53,8077.53,9.80,131.36,-2.55
801710,建筑材料,2020-11-24,8339.03,8339.14,8236.59,8288.93,9.96,127.32,-0.88
801710,建筑材料,2020-11-23,8272.90,8429.09,8223.52,8362.60,12.96,166.44,1.38
801710,建筑材料,2020-11-20,8231.10,8254.70,8185.10,8248.59,9.26,115.35,0.24
801710,建筑材料,2020-11-19,8305.99,8305.99,8203.44,8229.17,11.23,132.83,-1.24
801710,建筑材料,2020-11-18,8328.11,8382.08,8269.75,8332.18,11.07,145.92,0.01
801710,建筑材料,2020-11-17,8360.09,8405.61,8280.89,8331.36,14.41,194.24,-0.45
801710,建筑材料,2020-11-16,8234.94,8375.37,8192.28,8368.82,14.43,179.92,2.06
801710,建筑材料,2020-11-13,8243.06,8243.54,8117.54,8199.51,9.98,132.69,-1.10
801710,建筑材料,2020-11-12,8232.51,8303.44,8188.38,8291.11,11.54,158.95,0.72
801710,建筑材料,2020-11-11,8069.17,8316.46,8065.41,8231.78,14.47,197.72,1.85
801710,建筑材料,2020-11-10,8098.35,8149.03,8039.81,8082.33,11.40,149.70,-0.15
801710,建筑材料,2020-11-09,8036.95,8131.56,8010.74,8094.53,12.99,174.68,1.36
801710,建筑材料,2020-11-06,7983.73,7989.27,7889.06,7986.23,11.69,146.53,0.05
801710,建筑材料,2020-11-05,7957.99,7989.07,7904.90,7982.34,11.53,150.69,1.20
801710,建筑材料,2020-11-04,7781.41,7893.62,7781.39,7887.47,12.39,170.22,1.85
801710,建筑材料,2020-11-03,7715.45,7767.02,7645.97,7744.50,8.13,117.15,0.72
801710,建筑材料,2020-11-02,7627.03,7730.77,7627.03,7689.40,8.52,117.37,1.15
801710,建筑材料,2020-10-30,7794.49,7794.49,7597.11,7601.90,8.79,119.55,-2.33
801710,建筑材料,2020-10-29,7567.61,7805.22,7556.96,7783.64,7.65,110.59,1.36
801710,建筑材料,2020-10-28,7706.86,7706.86,7592.04,7678.95,6.17,98.65,-0.53
801710,建筑材料,2020-10-27,7568.36,7729.45,7568.33,7719.81,6.15,98.89,1.91
801710,建筑材料,2020-10-26,7593.77,7604.19,7478.99,7575.06,6.22,88.11,-0.56
801710,建筑材料,2020-10-23,7715.60,7753.67,7602.40,7617.82,6.37,83.70,-1.09
801710,建筑材料,2020-10-22,7775.18,7775.28,7636.55,7701.91,7.20,96.69,-1.38
801710,建筑材料,2020-10-21,7970.15,7970.17,7774.06,7809.91,7.15,102.16,-1.64
801710,建筑材料,2020-10-20,7931.77,7940.21,7834.06,7940.21,6.18,93.25,0.20
801710,建筑材料,2020-10-19,8085.25,8085.25,7919.01,7924.54,6.61,96.21,-1.37
