,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801770,通信,2020-12-31,2091.44,2118.55,2083.94,2113.60,12.96,155.31,0.93
1,801770,通信,2020-12-30,2103.11,2104.09,2071.85,2094.03,12.15,161.34,-0.67
2,801770,通信,2020-12-29,2013.29,2121.40,2013.25,2108.05,15.08,204.58,4.83
3,801770,通信,2020-12-28,2043.71,2043.71,2008.49,2010.92,9.26,106.72,-1.76
4,801770,通信,2020-12-25,2043.52,2054.90,2030.76,2046.97,7.10,83.96,-0.01
5,801770,通信,2020-12-24,2089.44,2089.44,2043.38,2047.17,9.49,104.99,-2.01
6,801770,通信,2020-12-23,2077.57,2092.05,2060.32,2089.22,9.61,114.71,0.65
7,801770,通信,2020-12-22,2131.55,2136.52,2074.71,2075.67,10.11,126.05,-2.94
8,801770,通信,2020-12-21,2127.18,2147.57,2116.89,2138.49,8.33,107.01,0.31
9,801770,通信,2020-12-18,2148.14,2154.27,2127.54,2131.92,8.40,88.92,-0.69
10,801770,通信,2020-12-17,2124.24,2146.64,2095.95,2146.64,10.38,107.02,0.92
11,801770,通信,2020-12-16,2170.57,2170.57,2125.41,2127.14,9.16,103.48,-1.88
12,801770,通信,2020-12-15,2166.46,2180.74,2160.68,2167.90,7.37,95.44,0.06
13,801770,通信,2020-12-14,2157.16,2167.51,2143.29,2166.56,7.81,104.69,0.42
14,801770,通信,2020-12-11,2198.93,2198.93,2140.71,2157.49,11.93,149.54,-1.79
15,801770,通信,2020-12-10,2199.31,2214.08,2186.40,2196.88,8.61,107.24,-0.28
16,801770,通信,2020-12-09,2254.12,2254.12,2202.88,2203.01,10.63,132.05,-2.30
17,801770,通信,2020-12-08,2253.25,2262.41,2251.87,2254.93,8.92,106.34,0.01
18,801770,通信,2020-12-07,2278.53,2282.24,2253.50,2254.68,9.23,119.24,-1.03
19,801770,通信,2020-12-04,2281.69,2289.19,2270.39,2278.26,8.92,108.05,-0.24
20,801770,通信,2020-12-03,2301.17,2301.38,2279.91,2283.65,10.84,132.13,-0.88
21,801770,通信,2020-12-02,2289.39,2315.72,2278.51,2303.91,14.03,171.68,0.58
22,801770,通信,2020-12-01,2259.55,2294.10,2259.55,2290.52,12.01,146.45,1.15
23,801770,通信,2020-11-30,2270.57,2288.89,2253.06,2264.39,13.26,165.44,-0.51
24,801770,通信,2020-11-27,2291.20,2293.20,2259.84,2275.98,10.12,135.85,-0.87
25,801770,通信,2020-11-26,2300.71,2309.34,2291.17,2295.92,11.09,145.44,-0.37
26,801770,通信,2020-11-25,2309.83,2335.92,2289.73,2304.49,15.28,197.51,-0.25
27,801770,通信,2020-11-24,2298.92,2323.50,2298.92,2310.34,11.74,152.54,0.30
28,801770,通信,2020-11-23,2309.68,2316.69,2285.55,2303.49,12.73,159.39,-0.24
29,801770,通信,2020-11-20,2301.59,2313.09,2290.63,2308.93,10.38,142.84,0.35
30,801770,通信,2020-11-19,2278.47,2310.98,2262.37,2300.79,10.18,151.52,0.53
31,801770,通信,2020-11-18,2280.38,2299.03,2277.62,2288.64,9.59,134.85,0.04
32,801770,通信,2020-11-17,2301.32,2301.32,2258.05,2287.66,10.74,153.02,-0.61
33,801770,通信,2020-11-16,2303.36,2304.45,2278.18,2301.75,10.01,140.07,0.07
34,801770,通信,2020-11-13,2289.58,2301.25,2272.28,2300.11,9.37,137.35,-0.20
35,801770,通信,2020-11-12,2322.42,2331.21,2298.18,2304.63,10.19,149.24,-0.22
36,801770,通信,2020-11-11,2349.55,2351.65,2307.72,2309.80,12.27,186.98,-2.05
37,801770,通信,2020-11-10,2405.24,2405.26,2347.46,2358.23,14.12,236.27,-2.21
38,801770,通信,2020-11-09,2367.06,2431.50,2365.88,2411.46,18.87,331.97,3.09
39,801770,通信,2020-11-06,2355.33,2362.24,2325.57,2339.28,15.99,279.62,-0.20
40,801770,通信,2020-11-05,2253.68,2346.45,2240.47,2343.91,18.05,282.77,5.32
41,801770,通信,2020-11-04,2250.37,2250.37,2216.67,2225.45,9.16,119.92,-0.85
42,801770,通信,2020-11-03,2186.79,2247.19,2186.58,2244.42,12.42,161.24,2.79
43,801770,通信,2020-11-02,2214.14,2214.14,2162.95,2183.44,11.60,156.02,-1.36
44,801770,通信,2020-10-30,2274.05,2288.86,2211.31,2213.50,12.69,178.09,-2.39
45,801770,通信,2020-10-29,2251.19,2276.18,2246.80,2267.68,11.16,164.43,-1.02
46,801770,通信,2020-10-28,2302.16,2304.03,2251.85,2291.13,11.95,169.76,-0.61
47,801770,通信,2020-10-27,2295.21,2313.27,2287.01,2305.16,8.51,117.61,0.00
48,801770,通信,2020-10-26,2294.75,2313.60,2281.66,2305.12,8.19,107.32,0.05
49,801770,通信,2020-10-23,2332.28,2345.51,2301.99,2304.03,9.94,133.16,-1.47
50,801770,通信,2020-10-22,2340.39,2349.22,2320.63,2338.45,10.21,130.76,-0.72
51,801770,通信,2020-10-21,2391.35,2391.37,2335.63,2355.32,13.28,169.73,-1.60
52,801770,通信,2020-10-20,2363.72,2393.74,2349.61,2393.74,11.60,157.11,1.00
53,801770,通信,2020-10-19,2410.36,2421.23,2366.25,2369.95,13.11,182.85,0.28
54,801770,通信,2020-10-16,2378.06,2381.50,2348.52,2363.36,8.97,127.58,-0.60
55,801770,通信,2020-10-15,2400.74,2403.91,2377.71,2377.71,9.30,126.72,-1.11
56,801770,通信,2020-10-14,2417.71,2417.85,2397.91,2404.45,10.94,152.75,-0.73
57,801770,通信,2020-10-13,2410.91,2424.04,2402.77,2422.24,11.24,165.93,0.68
58,801770,通信,2020-10-12,2340.39,2406.10,2340.03,2405.94,12.71,185.69,3.57
59,801770,通信,2020-10-09,2307.24,2330.81,2307.01,2322.90,8.72,120.30,2.20
60,801770,通信,2020-09-30,2279.70,2286.76,2260.05,2272.87,6.71,88.05,-0.06
61,801770,通信,2020-09-29,2256.42,2290.12,2256.29,2274.25,7.52,97.36,1.34
62,801770,通信,2020-09-28,2281.40,2284.61,2244.23,2244.23,6.87,84.97,-1.47
63,801770,通信,2020-09-25,2302.63,2304.64,2268.56,2277.73,7.42,91.37,-0.75
64,801770,通信,2020-09-24,2345.29,2345.31,2294.78,2294.88,9.84,113.98,-2.75
65,801770,通信,2020-09-23,2364.78,2370.29,2343.85,2359.72,7.64,95.26,0.10
66,801770,通信,2020-09-22,2368.91,2386.12,2350.38,2357.41,9.46,118.85,-1.30
67,801770,通信,2020-09-21,2387.47,2407.90,2385.83,2388.41,10.45,143.37,0.24
68,801770,通信,2020-09-18,2353.67,2383.97,2346.08,2382.64,11.79,150.86,1.24
69,801770,通信,2020-09-17,2337.70,2373.06,2320.38,2353.54,10.64,135.20,0.49
70,801770,通信,2020-09-16,2357.16,2357.25,2330.43,2341.98,10.49,121.05,-0.81
71,801770,通信,2020-09-15,2366.05,2366.05,2346.75,2361.21,11.92,137.35,0.05
72,801770,通信,2020-09-14,2338.88,2368.16,2331.82,2360.10,13.20,155.89,1.41
73,801770,通信,2020-09-11,2290.56,2329.61,2284.01,2327.31,13.09,152.54,1.06
74,801770,通信,2020-09-10,2441.55,2441.55,2293.36,2302.88,21.86,255.24,-4.99
75,801770,通信,2020-09-09,2477.01,2477.01,2423.88,2423.88,22.99,275.09,-3.32
76,801770,通信,2020-09-08,2499.17,2509.08,2469.51,2507.01,20.66,246.02,0.50
77,801770,通信,2020-09-07,2534.93,2550.63,2488.53,2494.59,19.47,251.83,-1.59
78,801770,通信,2020-09-04,2490.99,2538.13,2488.67,2535.00,16.04,200.50,0.18
79,801770,通信,2020-09-03,2565.28,2565.28,2522.93,2530.54,16.29,230.10,-1.47
80,801770,通信,2020-09-02,2549.23,2578.15,2537.00,2568.41,19.27,248.20,1.20
81,801770,通信,2020-09-01,2527.07,2537.93,2506.77,2537.88,13.42,176.49,0.21
82,801770,通信,2020-08-31,2547.31,2568.73,2530.15,2532.61,15.53,208.10,-0.09
83,801770,通信,2020-08-28,2519.69,2534.90,2492.47,2534.90,13.62,178.86,0.29
84,801770,通信,2020-08-27,2494.14,2533.75,2483.90,2527.53,14.33,187.76,1.34
85,801770,通信,2020-08-26,2549.99,2549.99,2487.04,2494.10,15.85,209.48,-2.11
86,801770,通信,2020-08-25,2552.78,2565.87,2537.99,2547.80,15.50,204.83,-0.04
87,801770,通信,2020-08-24,2535.87,2557.43,2508.88,2548.93,13.50,182.71,0.87
88,801770,通信,2020-08-21,2532.55,2555.32,2509.73,2527.06,12.59,167.37,0.30
89,801770,通信,2020-08-20,2516.93,2541.99,2501.68,2519.44,13.31,172.55,-0.66
90,801770,通信,2020-08-19,2601.01,2601.07,2534.82,2536.25,17.22,223.14,-2.54
91,801770,通信,2020-08-18,2602.69,2608.97,2588.14,2602.43,18.04,237.54,-0.05
92,801770,通信,2020-08-17,2560.74,2603.68,2547.00,2603.68,18.71,271.23,2.16
93,801770,通信,2020-08-14,2517.81,2548.82,2514.61,2548.56,13.57,165.09,1.10
94,801770,通信,2020-08-13,2520.18,2532.56,2513.50,2520.80,15.48,171.88,0.36
