,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801790,非银金融,2020-12-31,2208.15,2285.20,2208.15,2271.31,67.05,1008.72,3.34
1,801790,非银金融,2020-12-30,2163.49,2197.90,2150.30,2197.90,41.45,594.89,1.32
2,801790,非银金融,2020-12-29,2162.90,2197.22,2162.90,2169.34,36.91,509.03,0.65
3,801790,非银金融,2020-12-28,2143.03,2178.46,2138.21,2155.34,34.28,484.47,0.40
4,801790,非银金融,2020-12-25,2134.10,2154.45,2110.04,2146.75,29.74,444.44,0.11
5,801790,非银金融,2020-12-24,2164.86,2178.73,2137.34,2144.43,24.70,364.12,-0.84
6,801790,非银金融,2020-12-23,2148.35,2174.05,2139.88,2162.59,28.37,435.85,0.82
7,801790,非银金融,2020-12-22,2224.28,2230.84,2144.65,2145.02,37.60,605.47,-3.89
8,801790,非银金融,2020-12-21,2213.62,2243.54,2198.34,2231.82,28.93,465.77,0.29
9,801790,非银金融,2020-12-18,2243.60,2253.92,2215.55,2225.31,28.02,436.87,-1.22
10,801790,非银金融,2020-12-17,2194.12,2255.92,2187.31,2252.81,37.13,603.86,2.55
11,801790,非银金融,2020-12-16,2207.79,2219.28,2193.63,2196.82,21.41,347.52,-0.28
12,801790,非银金融,2020-12-15,2204.67,2209.59,2182.80,2203.01,23.46,391.36,-0.53
13,801790,非银金融,2020-12-14,2207.72,2222.23,2195.15,2214.84,21.02,359.22,0.54
14,801790,非银金融,2020-12-11,2241.37,2241.90,2184.40,2202.88,34.62,552.51,-1.42
15,801790,非银金融,2020-12-10,2237.70,2250.61,2218.67,2234.70,30.86,482.40,-0.27
16,801790,非银金融,2020-12-09,2296.04,2312.69,2240.68,2240.68,39.78,622.82,-2.14
17,801790,非银金融,2020-12-08,2305.57,2322.83,2283.01,2289.57,28.99,485.55,-0.82
18,801790,非银金融,2020-12-07,2356.71,2357.72,2306.35,2308.56,32.28,501.20,-1.82
19,801790,非银金融,2020-12-04,2366.98,2366.98,2325.86,2351.47,42.96,643.61,-1.03
20,801790,非银金融,2020-12-03,2376.57,2395.14,2354.84,2375.88,58.01,784.31,-0.29
21,801790,非银金融,2020-12-02,2387.77,2418.08,2368.66,2382.68,61.65,961.72,-0.34
22,801790,非银金融,2020-12-01,2309.49,2401.48,2296.58,2390.91,67.87,1073.25,3.53
23,801790,非银金融,2020-11-30,2321.41,2403.92,2309.34,2309.34,72.27,1253.92,0.27
24,801790,非银金融,2020-11-27,2266.19,2303.05,2258.68,2303.05,31.34,532.98,1.72
25,801790,非银金融,2020-11-26,2234.61,2267.30,2227.95,2264.19,24.53,452.92,1.16
26,801790,非银金融,2020-11-25,2255.28,2281.86,2238.21,2238.21,30.75,565.50,0.17
27,801790,非银金融,2020-11-24,2254.81,2264.88,2231.11,2234.43,29.06,476.00,-1.09
28,801790,非银金融,2020-11-23,2213.45,2280.80,2210.63,2259.08,48.42,761.07,1.92
29,801790,非银金融,2020-11-20,2219.67,2223.05,2203.98,2216.49,21.35,347.01,-0.41
30,801790,非银金融,2020-11-19,2203.44,2229.00,2191.78,2225.65,28.22,457.95,0.35
31,801790,非银金融,2020-11-18,2199.61,2235.62,2199.61,2217.84,28.35,503.27,0.99
32,801790,非银金融,2020-11-17,2184.37,2196.82,2175.13,2196.14,21.71,391.54,0.46
33,801790,非银金融,2020-11-16,2163.13,2188.17,2158.44,2186.08,21.10,368.66,1.73
34,801790,非银金融,2020-11-13,2165.90,2165.90,2136.03,2148.85,21.53,384.31,-1.61
35,801790,非银金融,2020-11-12,2207.81,2211.78,2177.55,2184.11,21.19,348.84,-0.95
36,801790,非银金融,2020-11-11,2224.30,2233.93,2203.78,2204.96,28.24,494.19,-1.10
37,801790,非银金融,2020-11-10,2265.52,2269.32,2222.68,2229.55,38.86,674.77,-0.86
38,801790,非银金融,2020-11-09,2200.49,2266.92,2196.61,2248.85,54.35,860.06,3.30
39,801790,非银金融,2020-11-06,2174.73,2192.72,2160.72,2177.03,32.58,502.87,0.21
40,801790,非银金融,2020-11-05,2170.18,2185.17,2158.08,2172.39,27.88,442.66,1.48
41,801790,非银金融,2020-11-04,2142.99,2155.12,2125.35,2140.76,22.54,338.27,-0.48
42,801790,非银金融,2020-11-03,2106.72,2162.95,2106.71,2151.18,30.35,449.18,2.57
43,801790,非银金融,2020-11-02,2122.16,2145.22,2081.68,2097.37,29.38,452.09,-0.88
44,801790,非银金融,2020-10-30,2169.47,2181.60,2115.57,2115.95,29.79,438.99,-2.66
45,801790,非银金融,2020-10-29,2142.15,2195.89,2139.51,2173.80,25.55,415.04,0.01
46,801790,非银金融,2020-10-28,2173.75,2183.31,2151.64,2173.64,20.48,342.51,-0.36
47,801790,非银金融,2020-10-27,2179.91,2193.36,2171.31,2181.47,18.96,311.21,-0.36
48,801790,非银金融,2020-10-26,2236.27,2236.27,2179.57,2189.30,29.72,477.85,-2.48
49,801790,非银金融,2020-10-23,2252.88,2292.74,2245.01,2245.01,25.49,440.62,-0.57
50,801790,非银金融,2020-10-22,2244.66,2273.71,2224.77,2257.95,26.75,427.55,0.06
51,801790,非银金融,2020-10-21,2252.86,2262.52,2239.72,2256.66,19.42,323.08,0.28
52,801790,非银金融,2020-10-20,2246.72,2251.10,2228.04,2250.38,22.15,360.17,-0.16
53,801790,非银金融,2020-10-19,2287.70,2316.95,2254.04,2254.04,31.87,516.83,-0.65
54,801790,非银金融,2020-10-16,2258.27,2282.57,2255.44,2268.70,24.27,391.09,0.64
55,801790,非银金融,2020-10-15,2256.67,2291.20,2254.18,2254.18,27.22,404.39,0.02
56,801790,非银金融,2020-10-14,2268.76,2269.33,2244.72,2253.77,26.82,391.34,-0.81
57,801790,非银金融,2020-10-13,2267.67,2276.10,2247.39,2272.08,40.35,576.30,-0.65
58,801790,非银金融,2020-10-12,2217.57,2292.73,2217.03,2287.05,49.53,733.43,3.83
59,801790,非银金融,2020-10-09,2194.78,2210.39,2192.95,2202.79,26.12,393.27,1.76
60,801790,非银金融,2020-09-30,2193.32,2197.89,2153.43,2164.60,25.99,368.69,-1.06
61,801790,非银金融,2020-09-29,2205.58,2208.43,2187.75,2187.75,25.63,377.76,-0.25
62,801790,非银金融,2020-09-28,2186.20,2207.19,2185.93,2193.27,25.00,335.48,-0.03
63,801790,非银金融,2020-09-25,2180.86,2205.31,2170.77,2194.01,35.79,479.14,1.18
64,801790,非银金融,2020-09-24,2185.75,2204.66,2168.52,2168.52,32.29,442.74,-1.34
65,801790,非银金融,2020-09-23,2220.54,2222.78,2195.51,2197.90,33.28,434.78,-0.82
66,801790,非银金融,2020-09-22,2209.00,2269.77,2209.00,2216.14,54.20,710.89,-0.86
67,801790,非银金融,2020-09-21,2296.34,2298.88,2235.29,2235.29,49.83,770.76,-1.06
68,801790,非银金融,2020-09-18,2150.32,2265.03,2150.32,2259.31,54.87,923.09,5.27
69,801790,非银金融,2020-09-17,2152.78,2167.65,2135.06,2146.14,24.40,388.11,-0.42
70,801790,非银金融,2020-09-16,2163.73,2181.11,2149.72,2155.21,22.86,347.44,-0.72
71,801790,非银金融,2020-09-15,2154.19,2175.77,2147.33,2170.84,20.29,349.64,0.67
72,801790,非银金融,2020-09-14,2152.67,2162.20,2143.49,2156.45,23.29,358.17,0.58
73,801790,非银金融,2020-09-11,2127.65,2148.24,2123.92,2143.97,26.27,380.18,0.45
74,801790,非银金融,2020-09-10,2179.11,2179.61,2134.43,2134.43,35.05,500.28,-1.19
75,801790,非银金融,2020-09-09,2169.64,2189.06,2155.35,2160.20,37.81,525.98,-1.78
76,801790,非银金融,2020-09-08,2159.49,2209.61,2155.89,2199.35,37.35,588.27,2.46
77,801790,非银金融,2020-09-07,2187.91,2202.27,2146.55,2146.55,38.49,581.37,-2.09
78,801790,非银金融,2020-09-04,2177.30,2197.43,2177.30,2192.39,29.96,445.83,-0.94
79,801790,非银金融,2020-09-03,2229.11,2253.51,2206.50,2213.08,37.72,595.11,-0.80
80,801790,非银金融,2020-09-02,2240.61,2248.46,2207.88,2230.92,41.18,630.80,-0.23
81,801790,非银金融,2020-09-01,2216.96,2235.96,2214.39,2235.96,32.18,473.58,0.36
82,801790,非银金融,2020-08-31,2260.80,2292.49,2227.86,2227.86,54.40,843.07,-1.07
83,801790,非银金融,2020-08-28,2192.54,2255.20,2184.04,2252.01,42.77,688.24,2.46
84,801790,非银金融,2020-08-27,2194.24,2205.66,2174.70,2198.04,31.59,473.48,0.32
85,801790,非银金融,2020-08-26,2236.05,2244.16,2189.81,2190.92,43.63,677.70,-2.36
86,801790,非银金融,2020-08-25,2252.66,2280.69,2237.17,2243.86,40.03,604.31,-0.16
87,801790,非银金融,2020-08-24,2274.36,2274.53,2244.20,2247.42,37.46,525.33,-0.84
88,801790,非银金融,2020-08-21,2255.32,2268.91,2237.55,2266.40,45.83,623.31,1.15
89,801790,非银金融,2020-08-20,2256.68,2262.96,2231.20,2240.66,43.45,624.12,-1.45
90,801790,非银金融,2020-08-19,2314.33,2325.53,2272.83,2273.64,55.68,843.13,-2.15
91,801790,非银金融,2020-08-18,2335.11,2344.68,2308.73,2323.61,58.85,940.48,-0.68
92,801790,非银金融,2020-08-17,2261.49,2386.01,2261.49,2339.55,90.68,1459.78,4.68
93,801790,非银金融,2020-08-14,2180.04,2238.72,2180.04,2234.98,37.26,582.87,1.98
94,801790,非银金融,2020-08-13,2200.46,2213.15,2181.99,2191.59,38.36,575.82,0.03
95,801790,非银金融,2020-08-12,2185.13,2206.33,2156.11,2190.97,43.41,708.60,-0.13
96,801790,非银金融,2020-08-11,2247.96,2274.54,2192.12,2193.82,51.94,879.30,-2.44
97,801790,非银金融,2020-08-10,2197.04,2280.96,2195.86,2248.71,56.44,977.83,1.27
98,801790,非银金融,2020-08-07,2238.21,2269.43,2188.25,2220.41,67.47,1062.66,-2.50
99,801790,非银金融,2020-08-06,2226.40,2288.96,2194.27,2277.35,66.22,1014.29,2.31
100,801790,非银金融,2020-08-05,2231.34,2237.54,2203.63,2225.98,47.80,718.08,-1.04
101,801790,非银金融,2020-08-04,2237.29,2272.56,2219.39,2249.44,65.76,1006.47,0.78
102,801790,非银金融,2020-08-03,2219.59,2232.11,2193.58,2232.11,68.65,1019.69,1.94
103,801790,非银金融,2020-07-31,2164.28,2224.13,2162.25,2189.53,61.89,891.75,1.02
104,801790,非银金融,2020-07-30,2198.60,2198.60,2167.45,2167.45,51.37,766.33,-1.36
105,801790,非银金融,2020-07-29,2119.64,2205.11,2115.40,2197.25,61.67,916.64,3.23
106,801790,非银金融,2020-07-28,2149.33,2149.33,2111.50,2128.41,38.20,557.83,-0.01
107,801790,非银金融,2020-07-27,2141.48,2149.52,2096.49,2128.66,46.41,652.46,-0.23
108,801790,非银金融,2020-07-24,2234.25,2236.66,2120.89,2133.61,78.53,1124.52,-5.22
109,801790,非银金融,2020-07-23,2227.21,2265.74,2197.88,2251.08,71.37,957.63,-0.47
110,801790,非银金融,2020-07-22,2254.98,2329.28,2243.49,2261.72,83.83,1121.21,0.05
111,801790,非银金融,2020-07-21,2313.49,2313.49,2248.66,2260.53,67.31,890.41,-1.84
112,801790,非银金融,2020-07-20,2214.56,2314.02,2211.51,2302.89,82.68,1132.26,5.74
113,801790,非银金融,2020-07-17,2242.97,2242.97,2153.78,2177.78,82.30,1023.64,-2.16
114,801790,非银金融,2020-07-16,2334.06,2373.29,2224.93,2225.92,106.44,1427.17,-4.50
115,801790,非银金融,2020-07-15,2403.57,2413.37,2329.47,2330.72,95.80,1424.59,-1.95
116,801790,非银金融,2020-07-14,2376.39,2404.55,2340.49,2376.96,91.73,1371.62,-0.73
117,801790,非银金融,2020-07-13,2361.18,2438.14,2339.79,2394.48,110.37,1648.15,0.95
118,801790,非银金融,2020-07-10,2410.49,2438.04,2367.32,2371.84,109.65,1634.79,-3.07
119,801790,非银金融,2020-07-09,2421.03,2480.78,2396.66,2447.08,126.11,1845.99,0.45
120,801790,非银金融,2020-07-08,2321.80,2478.03,2321.80,2436.09,130.93,1896.24,5.05
121,801790,非银金融,2020-07-07,2416.75,2416.75,2315.64,2318.97,134.09,1953.55,-1.53
122,801790,非银金融,2020-07-06,2226.15,2359.61,2226.15,2354.89,128.34,1838.20,8.95
123,801790,非银金融,2020-07-03,2070.72,2163.44,2067.48,2161.49,123.78,1610.72,5.81
124,801790,非银金融,2020-07-02,1929.85,2049.34,1929.85,2042.90,92.23,1154.69,5.52
125,801790,非银金融,2020-07-01,1889.86,1935.98,1869.39,1935.98,43.76,557.54,2.42
126,801790,非银金融,2020-06-30,1865.02,1905.00,1858.63,1890.19,39.29,463.21,1.83
127,801790,非银金融,2020-06-29,1890.44,1891.06,1851.60,1856.26,39.28,489.14,-2.52
128,801790,非银金融,2020-06-24,1906.60,1924.36,1900.58,1904.18,34.48,435.11,0.24
129,801790,非银金融,2020-06-23,1893.69,1901.10,1879.23,1899.59,40.47,498.66,-0.09
130,801790,非银金融,2020-06-22,1880.48,1944.61,1876.84,1901.30,61.21,736.65,0.85
131,801790,非银金融,2020-06-19,1853.25,1896.75,1850.94,1885.26,49.59,603.84,1.77
132,801790,非银金融,2020-06-18,1836.72,1860.03,1829.90,1852.55,25.80,304.45,0.72
133,801790,非银金融,2020-06-17,1844.73,1844.73,1828.97,1839.22,19.65,238.17,-0.46
134,801790,非银金融,2020-06-16,1846.55,1850.80,1840.31,1847.70,23.67,293.56,1.20
135,801790,非银金融,2020-06-15,1842.42,1857.82,1825.74,1825.74,25.59,313.74,-1.01
136,801790,非银金融,2020-06-12,1820.95,1849.43,1820.05,1844.37,24.79,291.40,-0.31
137,801790,非银金融,2020-06-11,1867.53,1879.25,1845.50,1850.01,23.46,293.65,-1.27
138,801790,非银金融,2020-06-10,1891.11,1891.11,1871.04,1873.89,18.37,214.77,-1.00
139,801790,非银金融,2020-06-09,1886.32,1901.74,1885.43,1892.84,21.91,270.56,0.37
140,801790,非银金融,2020-06-08,1881.58,1896.94,1881.58,1885.95,21.19,282.47,0.70
141,801790,非银金融,2020-06-05,1863.95,1873.05,1850.16,1872.93,24.47,273.50,0.63
142,801790,非银金融,2020-06-04,1875.32,1875.76,1856.34,1861.22,18.87,230.50,-0.23
143,801790,非银金融,2020-06-03,1880.61,1900.95,1865.47,1865.47,25.94,363.56,-0.17
144,801790,非银金融,2020-06-02,1844.41,1873.47,1844.41,1868.63,27.05,347.15,1.11
145,801790,非银金融,2020-06-01,1823.04,1853.70,1822.07,1848.10,35.70,403.24,3.14
146,801790,非银金融,2020-05-29,1794.38,1799.48,1791.08,1791.83,15.99,174.59,-0.89
147,801790,非银金融,2020-05-28,1784.77,1824.60,1784.76,1807.89,24.13,266.66,1.47
148,801790,非银金融,2020-05-27,1792.55,1800.61,1779.23,1781.77,13.43,148.87,-0.56
149,801790,非银金融,2020-05-26,1788.39,1793.35,1783.75,1791.80,13.74,158.03,0.97
