index_code,display_name,publish_date
1,上证指数,1991/7/15
2,A股指数,1992/2/21
3,B股指数,1992/2/21
4,工业指数,1993/5/3
5,商业指数,1993/5/3
6,地产指数,1993/5/3
7,公用指数,1993/5/3
8,综合指数,1993/5/3
9,上证380,2010/11/29
10,上证180,2002/7/1
11,基金指数,2000/6/9
12,国债指数,2003/1/2
13,上证企业债指数,2003/6/9
15,红利指数,2005/1/4
16,上证50,2004/1/2
17,新综指,2006/1/4
18,180金融,2007/12/10
19,治理指数,2008/1/2
20,中型综指,2008/5/12
21,180治理,2008/9/10
22,上证公司债指数,2008/11/19
25,180基建,2008/12/15
26,180资源,2008/12/15
27,180运输,2008/12/15
28,180成长,2009/1/9
29,180价值,2009/1/9
30,180R成长,2009/1/9
31,180R价值,2009/1/9
32,上证能源,2009/1/9
33,上证材料,2009/1/9
34,上证工业,2009/1/9
35,上证可选,2009/1/9
36,上证消费,2009/1/9
37,上证医药,2009/1/9
38,上证金融,2009/1/9
39,上证信息,2009/1/9
40,上证电信,2009/1/9
41,上证公用,2009/1/9
42,上证央企,2009/3/30
43,超大盘,2009/4/23
44,上证中盘,2009/7/3
45,上证小盘,2009/7/3
46,上证中小,2009/7/3
47,上证全指,2009/7/3
48,责任指数,2009/8/5
49,上证民企,2009/8/25
50,50等权,2011/1/4
51,180等权,2011/5/24
52,50基本,2012/1/9
53,180基本,2012/1/9
54,上证海外,2010/1/4
55,上证地企,2010/1/4
56,上证国企,2010/1/4
57,全指成长,2010/1/4
58,全指价值,2010/1/4
59,全R成长,2010/1/4
60,全R价值,2010/1/4
61,沪企债30,2010/1/4
62,上证沪企,2010/1/4
63,上证周期,2010/2/3
64,非周期,2010/2/3
65,上证龙头,2010/2/9
66,上证商品,2010/4/30
67,上证新兴,2010/4/30
68,上证资源,2010/5/28
69,消费80,2010/5/28
70,能源等权,2010/8/18
71,材料等权,2010/8/18
72,工业等权,2010/8/18
73,可选等权,2010/8/18
74,消费等权,2010/8/18
75,医药等权,2010/8/18
76,金融等权,2010/8/18
77,信息等权,2010/8/18
78,电信等权,2010/8/18
79,公用等权,2010/8/18
90,上证流通,2010/12/2
91,沪财中小,2011/4/6
92,资源50,2011/5/10
93,180分层,2011/5/24
94,上证上游,2011/5/10
95,上证中游,2011/5/10
96,上证下游,2011/5/10
97,高端装备,2011/5/24
98,上证F200,2011/7/1
99,上证F300,2011/7/1
100,上证F500,2011/7/1
101,5年信用,2013/4/1
102,沪投资品,2011/6/13
103,沪消费品,2011/6/13
104,380能源,2011/6/13
105,380材料,2011/6/13
106,380工业,2011/6/13
107,380可选,2011/6/13
108,380消费,2011/6/13
109,380医药,2011/6/13
110,380金融,2011/6/13
111,380信息,2011/6/13
112,380电信,2011/6/13
113,380公用,2011/6/13
114,持续产业,2011/8/22
115,380等权,2011/8/12
116,信用100,2013/2/26
117,380成长,2011/10/18
118,380价值,2011/10/18
119,380R成长,2011/10/18
120,380R价值,2011/10/18
121,医药主题,2011/10/18
122,农业主题,2011/10/18
123,180动态,2013/2/8
125,180稳定,2013/2/8
126,消费50,2011/12/9
128,380基本,2012/1/9
129,180波动,2012/1/9
130,380波动,2012/1/9
131,上证高新,2012/2/10
132,上证100,2012/4/20
133,上证150,2012/4/20
134,上证银行,2012/5/29
135,180高贝,2012/8/6
136,180低贝,2012/8/6
137,380高贝,2012/8/6
138,380低贝,2012/8/6
139,上证转债,2012/9/12
141,380动态,2013/2/8
142,380稳定,2013/2/8
145,优势资源,2012/5/29
146,优势制造,2012/5/29
147,优势消费,2012/5/29
148,消费领先,2012/5/29
149,180红利,2012/7/20
150,380红利,2012/7/20
151,上国红利,2012/7/20
152,上央红利,2012/7/20
153,上民红利,2012/7/20
155,市值百强,2012/7/20
158,上证环保,2012/9/25
159,上证沪股通指数,2014/11/17
160,上证一带一路主题指数,2015/6/24
161,上证中国制造2025主题指数,2015/10/29
162,上证互联网+主题指数,2015/10/29
171,新兴成指,2017/1/25
188,中国波指,2016/11/28
300,沪深300,2005/4/8
801,资源80,2011/11/8
802,500沪市,2011/11/8
803,300波动,2012/1/9
804,500波动,2012/1/9
805,A股资源,2012/1/6
806,消费服务,2012/2/10
807,食品饮料,2012/2/17
808,医药生物,2012/2/17
809,细分农业,2012/4/11
810,细分能源,2012/4/11
811,细分有色,2012/4/11
812,细分机械,2012/4/11
813,细分化工,2012/4/11
