,801010_农林牧渔_ret,801020_采掘_ret,801030_化工_ret,801040_钢铁_ret,801050_有色金属_ret,801080_电子_ret,801110_家用电器_ret,801120_食品饮料_ret,801130_纺织服装_ret,801140_轻工制造_ret,801150_医药生物_ret,801160_公用事业_ret,801170_交通运输_ret,801180_房地产_ret,801200_商业贸易_ret,801210_休闲服务_ret,801230_综合_ret,801710_建筑材料_ret,801720_建筑装饰_ret,801730_电气设备_ret,801740_国防军工_ret,801750_计算机_ret,801760_传媒_ret,801770_通信_ret,801780_银行_ret,801790_非银金融_ret,801880_汽车_ret,801890_机械设备_ret
2014-02-24,17.0,5.0,15.0,16.0,7.0,28.0,2.0,11.0,19.0,22.0,24.0,14.0,10.0,1.0,8.0,26.0,20.0,6.0,3.0,23.0,13.0,25.0,27.0,21.0,4.0,9.0,12.0,18.0
2014-02-25,4.0,22.0,12.0,26.0,16.0,1.0,15.0,18.0,9.0,11.0,20.0,17.0,25.0,27.0,14.0,24.0,13.0,21.0,23.0,5.0,2.0,8.0,10.0,3.0,28.0,19.0,7.0,6.0
2014-02-26,13.0,23.0,24.0,20.0,28.0,6.0,11.0,4.0,21.0,16.0,17.0,8.0,9.0,22.0,15.0,19.0,26.0,18.0,7.0,25.0,3.0,12.0,1.0,2.0,14.0,5.0,27.0,10.0
2014-02-27,14.0,16.0,22.0,27.0,6.0,4.0,3.0,15.0,7.0,18.0,2.0,26.0,20.0,12.0,8.0,11.0,17.0,21.0,10.0,23.0,25.0,13.0,1.0,5.0,28.0,24.0,19.0,9.0
2014-02-28,8.0,2.0,7.0,5.0,22.0,18.0,26.0,27.0,13.0,6.0,3.0,10.0,4.0,19.0,9.0,12.0,25.0,15.0,17.0,23.0,16.0,14.0,11.0,21.0,1.0,28.0,24.0,20.0
2014-03-03,23.0,4.0,19.0,5.0,8.0,17.0,10.0,12.0,26.0,9.0,11.0,28.0,15.0,6.0,14.0,3.0,20.0,7.0,13.0,22.0,25.0,27.0,16.0,24.0,2.0,1.0,18.0,21.0
2014-03-04,10.0,16.0,19.0,9.0,24.0,15.0,3.0,2.0,20.0,22.0,8.0,4.0,21.0,28.0,17.0,5.0,27.0,11.0,7.0,12.0,26.0,1.0,6.0,23.0,25.0,18.0,13.0,14.0
2014-03-05,22.0,24.0,12.0,19.0,5.0,21.0,4.0,26.0,28.0,15.0,10.0,7.0,9.0,3.0,25.0,27.0,13.0,23.0,17.0,11.0,2.0,20.0,14.0,18.0,1.0,6.0,8.0,16.0
2014-03-06,9.0,4.0,16.0,19.0,8.0,11.0,24.0,10.0,14.0,15.0,5.0,6.0,18.0,28.0,17.0,23.0,7.0,25.0,20.0,12.0,1.0,3.0,21.0,27.0,26.0,22.0,2.0,13.0
2014-03-07,9.0,21.0,23.0,22.0,24.0,12.0,15.0,27.0,4.0,14.0,28.0,7.0,18.0,1.0,8.0,3.0,20.0,11.0,10.0,25.0,19.0,5.0,17.0,2.0,16.0,6.0,26.0,13.0
2014-03-10,13.0,10.0,25.0,21.0,8.0,5.0,20.0,28.0,15.0,6.0,27.0,26.0,18.0,19.0,3.0,14.0,9.0,11.0,24.0,7.0,1.0,12.0,2.0,4.0,22.0,17.0,23.0,16.0
2014-03-11,13.0,21.0,23.0,17.0,18.0,15.0,24.0,28.0,25.0,3.0,22.0,11.0,6.0,27.0,9.0,5.0,12.0,26.0,16.0,1.0,8.0,2.0,19.0,4.0,14.0,20.0,7.0,10.0
2014-03-12,14.0,22.0,4.0,16.0,26.0,19.0,18.0,7.0,20.0,9.0,12.0,13.0,6.0,28.0,2.0,21.0,10.0,23.0,24.0,5.0,8.0,1.0,25.0,3.0,27.0,11.0,17.0,15.0
2014-03-13,10.0,19.0,9.0,12.0,1.0,24.0,5.0,28.0,3.0,16.0,18.0,26.0,7.0,4.0,13.0,17.0,8.0,6.0,2.0,21.0,25.0,27.0,15.0,22.0,23.0,14.0,11.0,20.0
2014-03-14,15.0,3.0,21.0,8.0,16.0,24.0,23.0,2.0,17.0,25.0,14.0,7.0,12.0,10.0,5.0,1.0,27.0,19.0,4.0,18.0,6.0,26.0,28.0,20.0,9.0,13.0,11.0,22.0
2014-03-17,6.0,12.0,14.0,4.0,9.0,22.0,8.0,2.0,13.0,21.0,16.0,5.0,7.0,17.0,11.0,19.0,25.0,20.0,10.0,24.0,15.0,27.0,26.0,23.0,1.0,3.0,28.0,18.0
2014-03-18,28.0,6.0,8.0,5.0,7.0,9.0,11.0,21.0,14.0,26.0,15.0,24.0,18.0,2.0,22.0,23.0,19.0,10.0,12.0,20.0,4.0,27.0,25.0,16.0,1.0,3.0,13.0,17.0
2014-03-19,8.0,24.0,26.0,27.0,9.0,6.0,3.0,1.0,21.0,23.0,15.0,5.0,22.0,19.0,10.0,20.0,18.0,28.0,13.0,12.0,17.0,4.0,2.0,25.0,14.0,7.0,11.0,16.0
2014-03-20,19.0,15.0,21.0,22.0,17.0,4.0,7.0,18.0,8.0,11.0,14.0,20.0,23.0,27.0,12.0,13.0,9.0,24.0,26.0,5.0,2.0,3.0,1.0,10.0,28.0,25.0,6.0,16.0
2014-03-21,7.0,25.0,12.0,8.0,20.0,2.0,23.0,9.0,16.0,11.0,1.0,14.0,19.0,27.0,24.0,6.0,18.0,22.0,21.0,17.0,13.0,10.0,3.0,5.0,28.0,26.0,15.0,4.0
2014-03-24,12.0,19.0,14.0,28.0,18.0,6.0,5.0,7.0,20.0,9.0,3.0,15.0,25.0,27.0,22.0,17.0,21.0,26.0,23.0,11.0,8.0,1.0,2.0,4.0,13.0,24.0,16.0,10.0
2014-03-25,22.0,14.0,11.0,3.0,16.0,19.0,25.0,1.0,12.0,20.0,9.0,24.0,27.0,13.0,26.0,4.0,7.0,6.0,23.0,10.0,18.0,8.0,28.0,15.0,2.0,5.0,21.0,17.0
2014-03-26,13.0,7.0,14.0,10.0,21.0,28.0,19.0,1.0,22.0,12.0,27.0,9.0,8.0,2.0,6.0,20.0,16.0,17.0,4.0,26.0,3.0,24.0,23.0,15.0,11.0,5.0,25.0,18.0
2014-03-27,8.0,21.0,13.0,24.0,9.0,4.0,6.0,15.0,19.0,7.0,12.0,22.0,26.0,27.0,20.0,23.0,14.0,16.0,18.0,5.0,10.0,3.0,1.0,2.0,28.0,25.0,17.0,11.0
2014-03-28,17.0,18.0,13.0,21.0,20.0,3.0,26.0,12.0,15.0,9.0,8.0,16.0,24.0,23.0,14.0,7.0,10.0,27.0,22.0,4.0,2.0,1.0,5.0,6.0,28.0,25.0,19.0,11.0
2014-03-31,9.0,13.0,23.0,17.0,16.0,20.0,26.0,27.0,5.0,18.0,15.0,25.0,4.0,8.0,2.0,22.0,1.0,21.0,14.0,6.0,28.0,24.0,3.0,19.0,12.0,11.0,10.0,7.0
2014-04-01,16.0,5.0,15.0,6.0,3.0,28.0,17.0,26.0,19.0,21.0,9.0,12.0,11.0,10.0,13.0,23.0,22.0,2.0,18.0,20.0,4.0,25.0,14.0,27.0,1.0,8.0,7.0,24.0
2014-04-02,18.0,23.0,13.0,26.0,20.0,14.0,10.0,16.0,12.0,11.0,4.0,19.0,15.0,28.0,17.0,8.0,3.0,27.0,22.0,6.0,5.0,1.0,2.0,7.0,25.0,24.0,21.0,9.0
