symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh000001,上证指数,3570.1082,-6.096,-0.170,0,0,3576.2046,3577.6923,3588.0625,3544.8912,345557896,502170815614,000001,15:02:14
sh000002,Ａ股指数,3742.2304,-6.444,-0.172,0,0,3748.6745,3750.2378,3761.1314,3715.7747,345176653,501669595270,000002,15:02:14
sh000003,Ｂ股指数,248.1356,1.854,0.753,0,0,246.2814,246.2196,248.1356,245.7220,335983,138074825,000003,15:02:14
sh000004,工业指数,3212.2268,-9.634,-0.299,0,0,3221.8612,3226.0645,3238.7501,3184.4707,220597260,350360309517,000004,15:02:14
sh000005,商业指数,3220.3821,-0.821,-0.025,0,0,3221.2027,3215.8707,3245.6898,3208.2506,23443345,34781132952,000005,15:02:14
sh000006,地产指数,6141.7618,52.203,0.857,0,0,6089.5590,6079.5926,6160.9337,6063.8016,5407116,3975294741,000006,15:02:14
sh000007,公用指数,4279.0897,11.396,0.267,0,0,4267.6937,4255.0238,4289.6859,4231.9864,26506596,16045467965,000007,15:02:14
sh000008,综合指数,3069.4175,-3.310,-0.108,0,0,3072.7279,3072.8587,3087.2329,3049.5796,69603579,97008610439,000008,15:02:14
sh000009,上证380,5932.2066,0.251,0.004,0,0,5931.9557,5925.8665,5968.7142,5882.7154,78623498,107136076054,000009,15:02:14
sh000010,上证180,11143.7269,-43.260,-0.387,0,0,11186.9873,11204.9443,11251.1053,11041.4397,120511988,251189896664,000010,15:02:14
sh000011,基金指数,7669.4789,-9.161,-0.119,0,0,7678.6403,7685.4917,7698.4590,7629.7920,201825805,66261332066,000011,15:02:14
sh000012,国债指数,184.0257,0.034,0.019,0,0,183.9913,184.0075,184.0285,183.9872,228372,219334980,000012,15:02:14
sh000013,企债指数,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000013,
sh000015,红利指数,2578.9444,10.190,0.397,0,0,2568.7542,2565.4337,2587.5304,2551.3926,28855989,27610136635,000015,15:02:14
sh000016,上证50,3788.3191,-19.750,-0.519,0,0,3808.0695,3815.5680,3833.8627,3752.0850,41585644,129477191760,000016,15:02:14
sh000017,新综指,3017.5161,-5.203,-0.172,0,0,3022.7195,3023.9818,3032.7675,2996.1812,327805337,465248122387,000017,15:02:14
sh000018,180金融,5725.7524,4.821,0.084,0,0,5720.9313,5729.3040,5781.9479,5686.6926,39600448,58675579852,000018,15:02:14
sh000019,治理指数,1173.7787,3.639,0.311,0,0,1170.1394,1170.7793,1174.7667,1163.8204,122880945,151565774087,000019,15:02:14
sh000020,中型综指,1335.3498,-4.814,-0.359,0,0,1340.1638,1338.9477,1346.6345,1325.1371,32126595,50568714396,000020,15:02:14
sh000021,180治理,1102.2250,4.057,0.369,0,0,1098.1681,1099.1661,1103.6762,1092.2782,81286340,120736343730,000021,15:02:14
sh000022,沪公司债,211.7333,0.028,0.013,0,0,211.7050,211.7293,211.7361,211.7209,547699,538941601,000022,15:02:14
sh000025,180基建,1547.9625,5.359,0.347,0,0,1542.6034,1542.1508,1554.3518,1535.2378,12992529,8842274586,000025,15:02:14
sh000026,180资源,2933.4058,27.183,0.935,0,0,2906.2230,2930.8790,2937.2465,2839.6263,22094544,24595495523,000026,15:02:14
sh000027,180运输,905.8895,6.332,0.704,0,0,899.5576,899.3504,908.2633,896.2571,3090961,3420033394,000027,15:02:14
sh000028,180成长,5833.6372,-40.979,-0.698,0,0,5874.6163,5888.8851,5933.4247,5776.1903,28606973,121689515999,000028,15:02:14
sh000029,180价值,4103.3847,30.258,0.743,0,0,4073.1265,4081.3834,4107.7508,4065.6764,50699494,64305563503,000029,15:02:14
sh000030,180R成长,3557.0007,-35.173,-0.979,0,0,3592.1741,3598.0259,3618.3783,3522.0794,80434402,214862755525,000030,15:02:14
sh000031,180R价值,3113.9962,14.191,0.458,0,0,3099.8057,3104.8445,3118.5368,3086.1552,102526923,157478803029,000031,15:02:14
sh000032,上证能源,1143.3608,6.245,0.549,0,0,1137.1156,1140.4366,1149.9209,1132.0712,13817421,8211723092,000032,15:02:14
sh000033,上证材料,2794.1208,18.584,0.670,0,0,2775.5371,2790.1215,2796.3257,2730.4862,47993299,53941545990,000033,15:02:14
sh000034,上证工业,2860.9093,-14.597,-0.508,0,0,2875.5058,2881.4469,2896.9393,2830.6321,30087802,56751094967,000034,15:02:14
sh000035,上证可选,3940.6193,17.419,0.444,0,0,3923.2003,3937.3746,3983.2875,3899.8868,16195668,32618556298,000035,15:02:14
sh000036,上证消费,21178.0259,-506.664,-2.337,0,0,21684.6901,21678.9590,21886.8669,20996.3926,7996803,44447450556,000036,15:02:14
sh000037,上证医药,10483.6737,0.422,0.004,0,0,10483.2514,10481.1481,10622.0972,10379.3619,4426484,21867372635,000037,15:02:14
sh000038,上证金融,5519.5503,20.090,0.365,0,0,5499.4600,5511.3406,5568.1894,5473.9700,25176288,45457872935,000038,15:02:14
sh000039,上证信息,4884.2434,53.936,1.117,0,0,4830.3072,4825.6964,4896.3855,4804.9659,8385541,34777652750,000039,15:02:14
sh000040,上证电信,2968.1468,23.889,0.811,0,0,2944.2581,2927.2941,2991.7860,2915.5054,6607810,9300316503,000040,15:02:14
sh000041,上证公用,1857.4502,7.122,0.385,0,0,1850.3280,1850.1005,1861.6271,1840.4424,10044413,6410582463,000041,15:02:14
sh000042,上证央企,1686.8695,-3.461,-0.205,0,0,1690.3302,1692.0365,1700.4662,1673.5713,43022119,60149654168,000042,15:02:14
sh000043,超大盘,2988.6203,-0.372,-0.012,0,0,2988.9922,2991.4844,3004.6221,2967.9638,23986953,79648517328,000043,15:02:14
sh000044,上证中盘,4407.7725,-6.863,-0.155,0,0,4414.6354,4418.9055,4433.8531,4369.6863,78926345,121712704904,000044,15:02:14
sh000045,上证小盘,4784.6783,6.310,0.132,0,0,4778.3683,4770.3668,4804.5010,4738.0914,105775684,118407855359,000045,15:02:14
sh000046,上证中小,4635.0804,-1.530,-0.033,0,0,4636.6109,4635.8790,4654.6536,4595.3293,184702029,240120560263,000046,15:02:14
sh000047,上证全指,4151.3265,-11.514,-0.277,0,0,4162.8400,4166.6237,4181.9467,4115.4088,226287673,369597752023,000047,15:02:14
sh000048,责任指数,1662.7591,6.643,0.401,0,0,1656.1161,1657.5929,1668.5219,1647.7137,37562237,79119837182,000048,15:02:14
sh000049,上证民企,3133.0687,-14.511,-0.461,0,0,3147.5792,3158.3175,3174.3983,3098.1147,31329623,90739760526,000049,15:02:14
sh000050,50等权,2858.3056,0.557,0.019,0,0,2857.7486,2859.3997,2869.0901,2835.8389,41585644,129477191760,000050,15:02:14
sh000051,180等权,10330.6477,0.474,0.005,0,0,10330.1741,10332.4263,10367.9985,10251.2598,120511988,251189896664,000051,15:02:14
sh000052,50基本,3110.7979,20.157,0.652,0,0,3090.6412,3098.0859,3121.4758,3084.9663,41585644,129477191760,000052,15:02:14
sh000053,180基本,11384.6277,56.662,0.500,0,0,11327.9657,11342.4667,11400.4909,11296.3994,120511988,251189896664,000053,15:02:14
sh000054,上证海外,1502.3906,6.201,0.414,0,0,1496.1897,1499.5460,1509.0667,1487.0912,54369658,78734441784,000054,15:02:14
sh000055,上证地企,1580.0883,-5.044,-0.318,0,0,1585.1324,1587.3138,1593.9593,1566.7067,31067673,71107005378,000055,15:02:14
sh000056,上证国企,1279.9512,-4.028,-0.314,0,0,1283.9788,1285.5721,1289.6962,1269.3789,74089792,131256659546,000056,15:02:14
sh000057,全指成长,6169.9494,-51.256,-0.824,0,0,6221.2051,6225.8785,6267.3753,6112.9937,47233612,166387608356,000057,15:02:14
sh000058,全指价值,4164.5675,28.887,0.698,0,0,4135.6802,4139.9802,4166.0825,4128.3820,98064208,97952975688,000058,15:02:14
sh000059,全R成长,4468.3118,-39.961,-0.886,0,0,4508.2727,4511.0948,4534.6241,4427.0302,150360121,310020269348,000059,15:02:14
sh000060,全R价值,3766.1240,18.006,0.480,0,0,3748.1182,3752.8414,3766.1240,3735.8638,201190716,241585636680,000060,15:02:14
sh000061,沪企债30,154.9542,-0.023,-0.015,0,0,154.9770,154.9911,154.9911,154.7966,3921,3376570,000061,15:02:14
sh000062,上证沪企,2163.3002,24.723,1.156,0,0,2138.5775,2142.6887,2163.3002,2134.0933,21877959,32808574247,000062,15:02:14
sh000063,上证周期,3701.1294,8.099,0.219,0,0,3693.0299,3707.1835,3721.4340,3667.4905,53182441,91492036257,000063,15:02:14
sh000064,非周期,4587.8185,-37.338,-0.807,0,0,4625.1566,4624.7281,4652.4025,4543.8090,47663827,144995149578,000064,15:02:14
sh000065,上证龙头,4041.5115,38.866,0.971,0,0,4002.6452,4003.8866,4044.2391,3995.4652,51923080,136117170576,000065,15:02:14
sh000066,上证商品,2174.7024,-6.985,-0.320,0,0,2181.6873,2188.9860,2189.1216,2131.0795,47978497,50040002744,000066,15:02:14
sh000067,上证新兴,9952.9431,108.140,1.098,0,0,9844.8030,9852.9548,9955.6785,9791.9437,37251807,106298432134,000067,15:02:14
sh000068,上证资源,2135.0473,1.890,0.089,0,0,2133.1578,2144.1426,2144.7868,2080.1375,44316859,39617978420,000068,15:02:14
sh000069,消费80,8650.6981,-110.818,-1.265,0,0,8761.5156,8767.7637,8840.3397,8568.7458,18791979,86531514497,000069,15:02:14
sh000070,能源等权,1739.0683,-13.354,-0.762,0,0,1752.4227,1749.8382,1762.1173,1725.2763,13817421,8211723092,000070,15:02:14
sh000071,材料等权,3495.7258,8.908,0.255,0,0,3486.8174,3495.6932,3498.4127,3424.3082,47993299,53941545990,000071,15:02:14
sh000072,工业等权,3331.6670,-17.556,-0.524,0,0,3349.2226,3346.6248,3361.2058,3297.9826,30087802,56751094967,000072,15:02:14
sh000073,可选等权,3539.3251,11.610,0.329,0,0,3527.7149,3535.1210,3572.3300,3505.2983,16195668,32618556298,000073,15:02:14
sh000074,消费等权,13699.7374,-329.738,-2.350,0,0,14029.4756,14032.9665,14158.8801,13605.0631,7996803,44447450556,000074,15:02:14
sh000075,医药等权,11098.8282,40.230,0.364,0,0,11058.5982,11017.6923,11161.6619,11014.5543,4426484,21867372635,000075,15:02:14
sh000076,金融等权,4984.7676,-5.125,-0.103,0,0,4989.8930,4987.6614,5025.1997,4957.6066,25176288,45457872935,000076,15:02:14
sh000077,信息等权,5369.2681,48.924,0.920,0,0,5320.3439,5312.3411,5396.2436,5305.0801,8385541,34777652750,000077,15:02:14
sh000078,电信等权,2492.2607,25.945,1.052,0,0,2466.3161,2459.9220,2522.3280,2454.0686,6607810,9300316503,000078,15:02:14
sh000079,公用等权,1939.1599,-5.626,-0.289,0,0,1944.7855,1937.3497,1947.9147,1917.4500,10044413,6410582463,000079,15:02:14
sh000090,上证流通,1410.3135,-3.808,-0.269,0,0,1414.1212,1414.9821,1419.2962,1399.1782,327805337,465248122387,000090,15:02:14
sh000091,沪财中小,9703.3257,-52.212,-0.535,0,0,9755.5373,9728.5284,9764.7312,9588.9108,26676285,34567234183,000091,15:02:14
sh000092,资源50,3237.6670,12.195,0.378,0,0,3225.4721,3245.2299,3248.1018,3164.0712,48692529,52120003301,000092,15:02:14
sh000093,180分层,12773.8929,44.522,0.350,0,0,12729.3706,12746.8454,12802.5413,12658.3144,120511988,251189896664,000093,15:02:14
sh000094,上证上游,2376.3353,11.605,0.491,0,0,2364.7308,2382.1538,2384.8416,2311.9658,42650407,37852511173,000094,15:02:14
sh000095,上证中游,3672.1382,2.431,0.066,0,0,3669.7076,3674.6167,3688.9987,3628.0154,77976941,139455308455,000095,15:02:14
sh000096,上证下游,6672.7282,-69.047,-1.024,0,0,6741.7755,6740.2425,6783.0593,6614.9850,46676555,119314302017,000096,15:02:14
sh000097,高端装备,9965.5184,-158.835,-1.569,0,0,10124.3535,10104.5303,10139.4802,9846.0191,24514753,61582035596,000097,15:02:14
sh000098,上证F200,4609.6385,31.116,0.680,0,0,4578.5223,4584.8032,4609.6385,4570.8049,138837297,207339428728,000098,15:02:14
sh000099,上证F300,7508.4153,-13.192,-0.175,0,0,7521.6069,7518.1505,7544.3548,7431.5978,89979060,121188794913,000099,15:02:14
sh000100,上证F500,5186.1078,28.148,0.546,0,0,5157.9597,5163.5562,5188.3873,5141.4791,228816357,328528223641,000100,15:02:14
sh000101,5年信用,209.9567,0.056,0.027,0,0,209.9005,209.9211,209.9927,209.9211,107357,109544961,000101,15:02:14
sh000102,沪投资品,6038.3072,-42.286,-0.695,0,0,6080.5934,6113.9796,6125.0437,5924.8403,49600308,73186682613,000102,15:02:14
sh000103,沪消费品,14432.3267,-106.612,-0.733,0,0,14538.9390,14527.8666,14655.7981,14308.8533,10403078,55709646363,000103,15:02:14
sh000104,380能源,923.6506,-4.487,-0.483,0,0,928.1380,925.5876,933.0242,913.9737,4529715,2842915353,000104,15:02:14
sh000105,380材料,4578.3495,-28.085,-0.610,0,0,4606.4342,4608.2117,4608.5360,4508.8775,20672753,19389400942,000105,15:02:14
sh000106,380工业,5658.3149,5.826,0.103,0,0,5652.4891,5647.9413,5664.5380,5575.6397,22865779,29348020324,000106,15:02:14
sh000107,380可选,5818.0162,29.111,0.503,0,0,5788.9055,5794.9261,5878.9423,5759.5742,7397748,12045191045,000107,15:02:14
sh000108,380消费,17176.3358,-131.472,-0.760,0,0,17307.8079,17293.3277,17478.3436,17066.1099,4232094,11163117477,000108,15:02:14
sh000109,380医药,14786.8377,-29.806,-0.201,0,0,14816.6441,14767.2351,14910.7014,14684.3971,2801797,9489559440,000109,15:02:14
sh000110,380金融,3068.7058,8.465,0.277,0,0,3060.2412,3057.2214,3087.4553,3033.1147,5493172,4155833265,000110,15:02:14
sh000111,380信息,8576.8607,25.779,0.301,0,0,8551.0820,8523.1956,8675.8098,8522.0984,3574329,13178247851,000111,15:02:14
sh000112,380电信,5362.6803,27.330,0.512,0,0,5335.3501,5321.2436,5478.0951,5312.1795,741223,1820392231,000112,15:02:14
sh000113,380公用,1944.2391,17.262,0.896,0,0,1926.9772,1928.1450,1949.6867,1915.2736,6314888,3703398126,000113,15:02:14
sh000114,持续产业,1549.1753,-7.610,-0.489,0,0,1556.7855,1568.9171,1570.7775,1523.6786,16890402,30894070793,000114,15:02:14
sh000115,380等权,7429.5316,-6.950,-0.093,0,0,7436.4814,7424.8262,7476.1942,7365.1149,78623498,107136076054,000115,15:02:14
sh000116,信用100,185.5823,0.109,0.059,0,0,185.4734,185.4926,185.5917,185.4688,364337,353776060,000116,15:02:14
sh000117,380成长,6222.0244,-10.506,-0.169,0,0,6232.5307,6230.4980,6274.2369,6180.4371,14455188,33191966591,000117,15:02:14
sh000118,380价值,7210.6793,28.543,0.397,0,0,7182.1359,7165.1843,7241.9572,7121.8869,36141277,26154128963,000118,15:02:14
sh000119,380R成长,5354.9227,-9.685,-0.181,0,0,5364.6077,5362.1881,5396.1603,5316.7075,49312469,88809162415,000119,15:02:14
sh000120,380R价值,6580.1599,13.534,0.206,0,0,6566.6254,6555.7558,6610.2530,6510.5346,70998558,81771324787,000120,15:02:14
sh000121,医药主题,12961.9519,56.012,0.434,0,0,12905.9397,12872.4797,13013.7864,12870.3401,5551002,23696744844,000121,15:02:14
sh000122,农业主题,2144.4643,-50.965,-2.321,0,0,2195.4293,2187.7324,2190.2488,2128.6678,11806708,22624040232,000122,15:02:14
sh000123,180动态,9124.8866,-80.258,-0.872,0,0,9205.1449,9216.6600,9235.6951,9024.1266,53076295,134133119962,000123,15:02:14
