行业代码,行业名称,最新市盈率,股票家数,亏损家数,近一个月,近三个月,近六个月,近一年
A,农、林、牧、渔业,20.59,39,9,20.04,19.22,20.4,29.99
01,农业,73.31,14,3,74.39,70.48,71.68,60.93
02,林业,--,2,0,--,--,--,--
03,畜牧业,17.42,15,2,16.73,16.12,17.29,29.05
04,渔业,--,7,4,--,--,--,--
05,农、林、牧、渔服务业,--,1,0,--,--,--,--
B,采矿业,14.99,74,4,14.6,14.28,14.12,13.66
06,煤炭开采和洗选业,8.94,23,1,8.83,8.65,8.24,7.96
07,石油和天然气开采业,12.91,7,0,12.49,12.49,12.62,12.83
08,黑色金属矿采选业,41.59,6,0,44.62,40.51,37.37,40.27
09,有色金属矿采选业,54.78,21,2,53.14,49.89,49.17,42.66
10,非金属矿采选业,--,1,0,--,--,--,--
11,开采辅助活动,37.84,16,1,35.72,35.85,36.85,43.57
12,其他采矿业,--,0,0,--,--,--,--
C,制造业,42.54,2521,196,40.31,38.55,37.38,32.86
13,农副食品加工业,53.98,48,2,50.49,44.97,42.95,39.52
14,食品制造业,66.66,57,2,64.09,60.66,59.48,51.23
15,酒、饮料和精制茶制造业,64.99,38,2,60.48,54.54,50.65,43.5
16,烟草制品业,--,0,0,--,--,--,--
17,纺织业,26.11,37,2,27.22,27.8,25.21,21.97
18,纺织服装、服饰业,16.29,34,3,16.72,17.33,16.96,16.12
19,皮革、毛皮、羽毛及其制品和制鞋业,26.46,11,0,28.69,33.71,34.78,31.14
20,木材加工及木、竹、藤、棕、草制品业,23.6,8,0,24.88,23.44,23.64,21.31
21,家具制造业,29.61,21,0,30.2,30.95,29.63,26.8
22,造纸及纸制品业,26.82,33,1,25.8,25.3,24.4,20.75
23,印刷和记录媒介复制业,23.22,13,0,25.89,27.58,28.86,27.96
24,文教、工美、体育和娱乐用品制造业,58.29,15,0,58.17,58.66,57.63,55.8
25,石油加工、炼焦及核燃料加工业,18.44,16,1,18.99,18.53,18.2,15.71
26,化学原料及化学制品制造业,30.86,257,13,30.01,29.7,29.04,24.56
27,医药制造业,52.67,246,26,52.19,51.71,53.59,47.59
28,化学纤维制造业,32.45,25,2,28.15,25.7,23.17,22.04
29,橡胶和塑料制品业,43.71,90,5,42.15,40.21,38.46,35.36
30,非金属矿物制品业,23.91,94,8,22.1,21.07,20.49,18.04
31,黑色金属冶炼及压延加工业,12.79,29,0,12.39,12.11,11.79,9.83
32,有色金属冶炼及压延加工业,46.31,69,8,44.88,40.86,38.9,34.74
33,金属制品业,32.28,71,4,31.58,31.73,31.7,28.44
34,通用设备制造业,36.2,133,11,36.45,36.2,35.48,32.8
35,专用设备制造业,52.97,255,28,49.82,47.91,46.65,44.41
36,汽车制造业,30.3,132,12,28.03,27.1,24.58,20.48
37,铁路、船舶、航空航天和其它运输设备制造业,49.16,59,3,43.65,40.82,40.27,36.68
38,电气机械及器材制造业,41.87,241,21,39.46,36.46,33.52,29.21
39,计算机、通信和其他电子设备制造业,55.79,402,37,52.18,51.52,51.66,49.11
40,仪器仪表制造业,35.85,60,4,35.24,36.43,36.39,34.01
41,其他制造业,34.51,21,1,36.8,37.85,37.4,35.41
42,废弃资源综合利用业,35.32,6,0,33.38,29.82,29.36,28.11
43,金属制品、机械和设备修理业,--,0,0,--,--,--,--
D,电力、热力、燃气及水的生产和供应业,18.43,106,3,18.44,18.47,18.51,17.92
44,电力、热力生产和供应业,18.41,69,3,18.25,18.2,18.21,17.57
45,燃气生产和供应业,20.43,23,0,21.81,22.23,22.65,21.92
46,水的生产和供应业,16.16,14,0,16.66,17.17,17.27,17.74
E,建筑业,7.74,95,9,7.7,7.98,8.16,8.36
47,房屋建筑业,--,2,0,--,--,--,--
48,土木工程建筑业,7.24,67,6,7.11,7.34,7.47,7.72
49,建筑安装业,--,1,0,--,--,--,--
50,建筑装饰和其他建筑业,19.11,25,3,21.04,22.61,23.85,21.6
F,批发和零售业,18.23,156,8,18.35,19.18,19.95,18.76
51,批发业,16.39,70,2,17.17,17.59,18.05,17.54
52,零售业,19.51,86,6,19.17,20.28,21.27,19.62
G,交通运输、仓储和邮政业,19.91,104,3,19.41,19.32,19.17,18.54
53,铁路运输业,14.78,5,0,14.93,15.08,15.54,16.31
54,道路运输业,10.66,35,1,11,11.22,11.5,11.16
55,水上运输业,18.68,30,0,16.97,16.27,15.75,16.02
56,航空运输业,25.33,12,0,25.35,25.46,25.26,24.1
57,管道运输业,--,0,0,--,--,--,--
58,装卸搬运和其他运输代理业,23.13,9,1,23.5,22.99,21.8,18.62
59,仓储业,39.17,8,1,41.26,43.21,43.01,38.06
60,邮政业,43.94,5,0,42.71,42.97,42.04,36.43
H,住宿和餐饮业,31.88,9,1,33.75,32.96,32.13,28.54
61,住宿业,32.23,6,0,33.91,32.92,31.77,27.46
62,餐饮业,--,3,1,--,--,--,--
I,信息传输、软件和信息技术服务业,49.07,320,41,49.64,51.37,54.19,53.68
63,电信、广播电视和卫星传输传输服务,35.22,16,1,35.24,37.05,39.59,38.03
64,互联网和相关服务,32.85,60,10,32.72,34.55,38.1,39.56
65,软件和信息技术服务业,60.66,244,30,61.75,63.53,66.11,65.02
J,金融业,9.6,120,4,9.32,9.35,9.24,9.14
66,货币金融服务,6.45,39,1,6.27,6.26,6.14,6.28
67,资本市场服务,35.5,55,1,34.1,33.86,34.12,34.76
68,保险业,13.39,7,1,13.1,13.5,13.25,14.65
69,其他金融业,23.06,19,1,23.61,25.71,27.17,22.96
K,房地产业,7.57,115,7,7.72,8.07,8.42,8.63
70,房地产业,7.57,115,7,7.72,8.07,8.42,8.63
L,租赁和商务服务业,44.35,54,4,41.85,39.57,39.56,32.45
71,租赁业,--,3,0,--,--,--,--
72,商务服务业,47.7,51,4,44.87,42.3,42.24,34.52
M,科学研究和技术服务业,68.38,57,0,65.86,63.77,63.45,56.26
73,研究和试验发展,168.23,10,0,157.27,145.1,140.41,117.51
74,专业技术服务业,35.9,47,0,36.05,37.48,38.47,36.13
75,科技推广和应用服务业,--,0,0,--,--,--,--
N,水利、环境和公共设施管理业,23.56,72,4,24.85,26.11,27.09,25.91
76,水利管理业,--,0,0,--,--,--,--
77,生态保护和环境治理业,22.72,53,2,23.85,24.9,25.64,24.5
78,公共设施管理业,30.43,19,2,32.84,35.49,38.16,35.76
O,居民服务、修理和其他服务业,--,1,1,--,--,--,--
79,居民服务业,--,0,0,--,--,--,--
80,机动车、电子产品和日用产品修理业,--,1,1,--,--,--,--
81,其它服务业,--,0,0,--,--,--,--
P,教育,103.56,9,2,110.62,116.1,111.4,104.37
82,教育,103.56,9,2,110.62,116.1,111.4,104.37
Q,卫生和社会工作业,155.21,12,6,150.52,136.02,121.67,97.82
83,卫生,155.21,12,6,150.52,136.02,121.67,97.82
84,社会工作,--,0,0,--,--,--,--
R,文化、体育和娱乐业,23.87,55,10,23.68,24.79,25.66,24.68
